Kood;Nimetus eesti keeles;Kehtiv alates
CBJ50;Operatsioon kulmu ptoosi korral;1.1.2003
CBJ99;Muu operatsioon ptoosi korral;1.1.2003
CBK00;Silmalau müotoomia retraktsiooni korral;1.1.2003
CBK10;Operatsioonid lagoftalmi korral;1.1.2003
CBK99;Muu operatsioon silmalau retraktsiooni korral;1.1.2003
CBL00;Müektoomia ja neurotoomia blefarospasmi korral;1.1.2003
CBL99;Muu operatsioon blefarospasmi korral;1.1.2003
CBW99;Muu operatsioon silmalaul;1.1.2003
CCA00;Pisaranäärme intsisioon;1.1.2003
CCA10;Pisaranäärme biopsia;1.1.2003
CCA20;Pisaratäpi ja pisarakanalikese intsisioon;1.1.2003
CCA30;Pisarakoti intsisioon;1.1.2003
CCA40;Pisarateede biopsia;1.1.2003
CCB00;Osaline pisaranäärme eemaldamine;1.1.2003
CCB10;Totaalne pisaranäärme eemaldamine;1.1.2003
CCB99;Muu operatsioon pisaranäärmel;1.1.2003
CCC00;Pisaratäpi ja pisarakanalikeste sulgemine;1.1.2003
CCC50;Pisarakoti eemaldamine;1.1.2003
CCC99;Muu operatsioon pisarateedel;1.1.2003
CCD00;Pisarafistuli sulgemine;1.1.2003
CCD10;Pisarakanalikese õmblus;1.1.2003
CCD20;Pisarakanalikese õmblus koos dreenimisega;1.1.2003
CCD30;Pisarakanalikese rekonstruktsioon;1.1.2003
CCD40;Perkutaanne dakrüotsüstorinostoomia;1.1.2003
CCD50;Dakrüotsüstorinostoomia koos dreenimisega;1.1.2003
CCD60;Transnasaalne dakrüotsüstorinostoomia;1.1.2003
CCD70;Konjuktivotsüstorinostoomia koos dreenimisega;1.1.2003
CCD99;Muu rekonstruktiivne operatsioon pisaraaparaadil;1.1.2003
CCW99;Muu operatsioon pisaraaparaadil;1.1.2003
CDB00;Silmasisese võõrkeha eemaldamine;1.1.2003
CDB10;Silmasisese võõrkeha eemaldamine magnetiga;1.1.2003
CDB99;Muu operatsioon silmasisese võõrkeha korral;1.1.2003
CDC00;Silma enukleatsioon;1.1.2003
CDC10;Silma enukleatsioon primaarse implantaadiga;1.1.2003
CDC20;Silma enukleatsioon transplantaadiga;1.1.2003
CDC30;Silma evistseratsioon;1.1.2003
CDC40;Silma evistseratsioon primaarse implantaadiga;1.1.2003
CDC50;Silma evistseratsioon transplantaadiga;1.1.2003
CDW99;Muu operatsioon silmamunal;1.1.2003
CEA00;Silmaliigutajalihase biopsia;1.1.2003
CEB00;Silmaliigutajalihase müektoomia;1.1.2003
CEB10;Silmaliigutajalihase osaline müotoomia;1.1.2003
CEB20;Silmaliigutajalihase totaalne müotoomia;1.1.2003
CEB30;Silmaliigutajalihase tenotoomia;1.1.2003
CEC00;Silmaliigutajalihase tahapoole kinnitamine;1.1.2003
CEC10;Silmaliigutajalihase nõrgestamine ja lühendamine;1.1.2003
CEC20;Silmaliigutajalihase nõrgestamine ja edasiviimine;1.1.2003
CEC30;Silmaliigutajalihase lühendamine;1.1.2003
CEC40;Silmaliigutajalihase lühendamine ja ettepoole kinnitamine;1.1.2003
CEC50;Silmaliigutajalihase ettepoole kinnitamine;1.1.2003
CEC60;Silmaliigutajalihase nihutamine nihkeniidiga;1.1.2003
CEC70;Nüstagmipuhune silmaliigutajalihase nihutamine;1.1.2003
CEC80;Silmaliigutajalihase osaline nihutamine;1.1.2003
CEC85;Tsüklodeviatsiooni kombineeritud korrektsioon. Eponüüm: Harada-Ito operatsioon;1.1.2012
CEC90;Silmaliigutajalihase nihutamine;1.1.2003
CED00;Silmaliigutajalihase voltimine;1.1.2003
CEE00;Silmaliigutajalihase fikseeriv õmblus;1.1.2003
CEE10;Silmaliigutajalihase fiksatsioon kinnitava õmblusega;1.1.2003
CEF00;Silmaliigutajalihase liidete vabastamine;1.1.2003
CEF10;Tenon’i kapsli või vigastatud lihase õmblus;1.1.2003
CEW99;Silmaliigutajalihase muu operatsioon;1.1.2003
CFA00;Konjunktiivi intsisioon;1.1.2003
CFA10;Konjunktiivi peritoomia;1.1.2003
CFA20;Konjunktiivi biopsia;1.1.2003
CFB00;Konjunktiivi õmblus;1.1.2003
CFB10;Konjunktiivist võõrkeha eemaldamine;1.1.2003
CFC00;Konjunktiivi kahjustuse ekstsisioon;1.1.2003
CFC10;Konjunktiivi kahjustuse laserteraapia;1.1.2003
CFC16;Sarvkesta lesiooni detsruktsioon;1.1.2012
CFC20;Konjunktiivi kahjustuse krüoteraapia;1.1.2003
CFC26;Skleera lesiooni detsruktsioon;1.1.2012
CFC30;Trahhoomi folliikulite ekstsisioon;1.1.2003
CFD00;Konjunktiivi korrektsioon ilma transplantaadita;1.1.2003
CFD10;Konjunktiivi korrektsioon transplantaadiga;1.1.2003
CFW99;Muu operatsioon konjunktiivil;1.1.2003
CGA00;Sarvkesta biopsia;1.1.2003
CGA10;Skleera biopsia;1.1.2003
CGB00;Keratotoomia;1.1.2003
CGB10;Sklerotoomia;1.1.2003
CGC10;Sarvkestast võõrkeha eemaldamine;1.1.2003
CGC20;Sarvkestast võõrkeha eemaldamine magnetiga;1.1.2003
CGC30;Skleerast võõrkeha eemaldamine;1.1.2003
CGC40;Skleerast võõrkeha eemaldamine magnetiga;1.1.2003
CGD00;Keratotoomia refraktsiooni anomaalia korral;1.1.2003
CGD10;Laser keratoplastika refraktsiooni anomaalia korral;1.1.2003
CGD15;Termokeratoplastika;1.1.2012
CGD20;Keratom-iileus;1.1.2003
CGD40;Sarvkestasiseste rõngassegmentide implantatsioon;1.1.2010
CGD99;Muu operatsioon refraktsiooni anomaalia korral;1.1.2003
CGE10;Keratektoomia;1.1.2003
CGE15;Sarvkesta laserravi;1.1.2003
CGE20;Sarvkesta kahjustuse termokauterisatsioon;1.1.2003
CGE25;Sarvkesta külmravi;1.1.2003
CGE30;Sklerektoomia;1.1.2003
CGE35;Skleera laserravi;1.1.2003
CGE40;Skleera kahjustuse termokauterisatsioon;1.1.2003
CGE45;Sarvkesta korrektsioon tüviraku transplantaadiga;1.1.2012
CGE50;Pterüügiumi eemaldamine;1.1.2003
CGE55;Pterüügiumi eemaldamine koos konjuktiivi transplantatsiooniga;1.1.2003
CGE60;Limbaal tüvirakkude transplantatsioon, allotransplantatsioon;1.1.2010
CGE65;Limbaal tüvirakkude transplantatsioon, autotransplantatsioon;1.1.2010
CGE70;Limbaal tüvirakkude transplantatsioon, kasvatatud rakud;1.1.2010
CGE99;Muu operatsioon sarvkesta ja skleera kahjustuse korral;1.1.2003
CGF00;Sarvkesta haava sulgemine koeliimiga;1.1.2003
CGF10;Sarvkesta haava õmblus;1.1.2003
CGF20;Sarvkesta haava õmblus koos konjuktiivi plastikaga;1.1.2003
CGF25;Sarvkesta haava õmblus koos väljalangenud uvea resektsiooniga;1.1.2003
CGF30;Sarvkesta korrektsioon konjuktiivi transplantaadiga;1.1.2003
CGF35;Sarvkesta korrektsioon transplantaadiga;1.1.2012
CGF40;Skleera haava sulgemine koeliimiga;1.1.2003
CGF45;Skleera haava õmblus;1.1.2003
CGF50;Skleera haava õmblus koos konjuktiivi plastikaga;1.1.2003
CGF55;Skleera haava õmblus koos väljalangenud uvea resektsiooniga;1.1.2003
CGF99;Muu operatsioon sarvkestal ja skleeral läbistava vigastuse korral;1.1.2003
CGG00;Sarvkesta tätoveerimine;1.1.2003
CGG10;Koonussarvkesta korrektsioon termokauterisatsiooni abil;1.1.2003
CGG20;Epikeratofaakia või keratofaakia;1.1.2003
CGG30;Eesmine sarvkesta kihiline transplantatsioon;1.1.2003
CGG31;Tagumine sarvkesta kihiline transplantatsioon;1.1.2010
CGG35;Sarvkesta endoteeli transplantatsioon;1.1.2012
CGG40;Sarvkesta läbistav transplantatsioon autotransplantaadiga;1.1.2003
CGG45;Sarvkesta läbistav transplantatsioon homotransplantaadiga;1.1.2003
CGG50;Keratoproteesi implantatsioon;1.1.2003
CGG60;Skleera tugevdamine transplantaadiga;1.1.2003
CGG99;Muud rekonstruktiivsed operatsioonid sarvkestal ja skleeral;1.1.2003
CGW99;Muu operatsioon sarvkestal ja skleeral;1.1.2003
CHA10;Vikerkesta biopsia;1.1.2003
CHA20;Tsiliaarkeha biopsia;1.1.2003
CHB00;Laser sünehhialüüs;1.1.2003
CHB10;Silma eeskambri punktsioon koos loputusega;1.1.2003
CHB15;Silma eeskambri punktsioon koos kambrivedeliku asendamisega;1.1.2003
CHB20;Goniopunktsioon;1.1.2003
CHB30;Goniotoomia;1.1.2003
CHB40;Goniosünehhialüüs;1.1.2003
CHB50;Trabekulotoomia;1.1.2003
CHB60;Eesmine sünehhialüüs;1.1.2003
CHB65;Tagumine sünehhialüüs;1.1.2003
CHB99;Muu operatsioon eeskambril ja eeskambri nurgal;1.1.2003
CHC00;Iridotoomia;1.1.2003
CHC05;Laseriridotoomia;1.1.2003
CHC10;Perifeerne iridektoomia;1.1.2003
CHC20;Sektoriridektoomia;1.1.2003
CHC30;Tsentraalne iridektoomia;1.1.2003
CHD00;Lasertrabekuloplastika;1.1.2003
CHD05;Selektiivne lasertrabekuloplastika;1.1.2012
CHD10;Trabekuloplastika;1.1.2003
CHD15;Trabekulektoomia ja iridektoomia;1.1.2003
CHD20;Skleera trepaneerimine;1.1.2003
CHD25;Skleera trepaneerimine ja iridektoomia;1.1.2003
CHD28;Tagumine sklerotoomia;1.1.2012
CHD30;Lasertrabekulektoomia;1.1.2003
CHD40;Iridenkleis;1.1.2003
CHD50;sunt-operatsioon eeskambril;1.1.2003
CHD60;Sügav sklerektoomia ilma ilmplantaadita;1.1.2010
CHD65;Sügav sklerektoomia ilmplantaadiga;1.1.2010
CHD99;Muu filtreeriv operatsioon;1.1.2003
CHE00;Pupillotoomia;1.1.2003
CHE05;Laserpupillotoomia;1.1.2003
CHE10;Vikerkesta kahjustuse ekstsisioon;1.1.2003
CHE20;Vikerkesta kahjustuse laserravi;1.1.2003
CHE30;Vikerkesta õmblus;1.1.2012
CHE35;Vikerkesta kahjustuse ravi implantaadiga;1.1.2012
CHE99;Muu operatsioon vikerkesta kahjustuse korral;1.1.2003
CHF00;Tsiliaarkeha lesiooni ekstsisioon;1.1.2003
CHF05;Tsiliaarkeha transskleraalne laserkoagulatsioon;1.1.2003
CHF10;Tsiliaarkeha transpupillaarne laserkoagulatsioon;1.1.2003
CHF12;Tsiliaarkeha endoskoopiline laserkoagulatsioon;1.1.2010
CHF15;Tsiliaarkeha krüoteraapia;1.1.2003
CHF20;Tsiliaarkeha elektrokoagulatsioon;1.1.2003
CHF30;Tsüklodialüüs;1.1.2003
CHF99;Muu operatsioon tsiliaarkehal;1.1.2003
CHW99;Muu operatsioon eeskambril, eeskambri nurgal, vikerkestal või tsiliaarkehal;1.1.2003
CJA00;Intraokulaarse kontaktläätse implantatsioon eeskambris;1.1.2010
CJA10;Intraokulaarse kontaktläätse implantatsioon tagakambris;1.1.2010
CJB00;Sekundaarse katarakti lõhestus;1.1.2003
CJB10;Sekundaarse katarakti laser lõhestus;1.1.2003
CJB20;Sekundaarse katarakti irrigatsioon ja poleerimine;1.1.2003
CJB30;Sekundaarse katarakti ekstsisioon;1.1.2003
CJB40;Eesmine laserkapsulotoomia;1.1.2012
CJB99;Muu operatsioon läätsel sekundaarse katarakti korral;1.1.2003
CJC00;Intrakapsulaarne katarakti ekstraktsioon;1.1.2003
CJC05;Intrakapsulaarne katarakti ekstraktsioon koos iridektoomia või iridotoomiaga;1.1.2003
CJC10;Intrakapsulaarne katarakti ekstraktsioon koos kunstläätse implantatsiooniga eeskambrisse;1.1.2003
CJC15;Intrakapsulaarne katarakti ekstraktsioon koos kunstläätse implantatsiooniga eeskambrisse ja iridektoomia või iridotoomia;1.1.2003
CJC20;Intrakapsulaarne katarakti ekstraktsioon koos kunstläätse implantatsiooniga tagakambrisse;1.1.2003
CJC25;Intrakapsulaarne katarakti ekstraktsioon koos kunstläätse implantatsiooniga tagakambrisse ja iridektoomia või iridotoomia;1.1.2003
CJC99;Muu intrakapsulaarne katarakti operatsioon;1.1.2003
CJD00;Ekstrakapsulaarne katarakti ekstraktsioon;1.1.2003
CJD05;Ekstrakapsulaarne katarakti ekstraktsioon koos iridektoomia või iridotoomiaga;1.1.2003
CJD10;Ekstrakapsulaarne katarakti ekstraktsioon koos kunstläätse implantatsiooniga eeskambrisse;1.1.2003
CJD15;Ekstrakapsulaarne katarakti ekstraktsioon koos kunstläätse implantatsiooniga eeskambrisse ja iridektoomia või iridotoomia;1.1.2003
CJD20;Ekstrakapsulaarne katarakti ekstraktsioon koos kunstläätse implantatsiooniga tagakambrisse;1.1.2003
CJD25;Ekstrakapsulaarne katarakti ekstraktsioon koos kunstläätse implantatsiooniga tagakambrisse ja iridektoomia või iridotoomia;1.1.2003
CJD30;Pars plana lensektoomia;1.1.2003
CJD99;Muud ekstrakapsulaarsed katarakti operatsioonid;1.1.2003
CJE00;Fakoemulsifikatsioon;1.1.2003
CJE05;Fakoemulsifikatsioon koos iridektoomia ja iridotoomiaga;1.1.2003
CJE10;Fakoemulsifikatsioon koos kunstläätse implantatsiooniga eeskambrisse;1.1.2003
CJE15;Fakoemulsifikatsioon koos kunstläätse implantatsiooniga eeskambrisse ja iridektoomia või iridotoomia;1.1.2003
CJE20;Fakoemulsifikatsioon koos kunstläätse implantatsiooniga tagakambrisse;1.1.2003
CJE25;Fakoemulsifikatsioon koos kunstläätse implantatsiooniga tagakambrisse ja iridektoomia või iridotoomia;1.1.2003
CJE99;Muu ekstrakapsulaarne katarakti operatsioon kasutades fakoemulsifikatsiooni tehnikat;1.1.2003
CJF00;Kunstläätse sekundaarne implantatsioon eeskambrisse;1.1.2003
CJF10;Kunstläätse sekundaarne implantatsioon tagakambrisse;1.1.2003
CJF20;Kunstläätse eemaldamine;1.1.2003
CJF30;Kunstläätse dislokatsiooni parandamine;1.1.2003
CJF40;Kunstläätse eemaldamine ja implanteerimine eeskambrisse;1.1.2003
CJF45;Kunstläätse eemaldamine ja implanteerimine eeskambrisse koos iridektoomia või iridotoomiaga;1.1.2003
CJF50;Kunstläätse eemaldamine ja implanteerimine tagakambrisse;1.1.2003
CJF55;Kunstläätse eemaldamine ja implanteerimine tagakambrisse koos iridektoomia või iridotoomiaga;1.1.2003
CJF99;Muu operatsioon kunstläätsel;1.1.2003
CJG00;Dislotseerunud läätse ekstraktsioon;1.1.2003
CJG05;Dislotseerunud läätse ekstraktsioon koos iridektoomia või iridotoomiaga;1.1.2003
CJG10;Dislotseerunud läätse ekstraktsioon koos kunstläätse implantatsiooniga eeskambrisse;1.1.2003
CJG15;Dislotseerunud läätse ekstraktsioon koos kunstläätse implantatsiooniga eeskambrisse ja iridektoomia või iridotoomia;1.1.2003
CJG20;Dislotseerunud läätse ekstraktsioon koos kunstläätse implantatsiooniga tagakambrisse;1.1.2003
CJG25;Dislotseerunud läätse ekstraktsioon koos kunstläätse implantatsiooniga tagakambrisse ja iridektoomia või iridotoomia;1.1.2003
CJG99;Muu operatsioon dislotseerunud läätsel;1.1.2003
CJW99;Muu operatsioon läätsel;1.1.2003
CKA00;Pärissoonkesta biopsia;1.1.2003
CKA10;Klaaskeha biopsia;1.1.2003
CKA20;Võrkkesta biopsia;1.1.2003
CKB00;Suprakoroidaalse vedeliku punktsioon ja evakuatsioon;1.1.2003
CKB10;Suprakoroidaalse vedeliku punktsioon, evakuatsioon ja klaaskeha asendaja süstimine;1.1.2003
CKB99;Muu operatsioon pärissoonkestal irdumise korral;1.1.2003
CKC00;Klaaskeha fotoruptuur;1.1.2003
CKC12;Võrkkesta fotokoagulatsioon;1.1.2010
CKC20;Mitteirdunud võrkkesta krüopeksia;1.1.2003
CKC30;Irdunud võrkkesta krüopeksia;1.1.2003
CKC40;Võrkkesta elektrokoagulatsioon;1.1.2003
CKC50;Võrkkesta transskleraalne laserravi;1.1.2003
CKC60;Skleera lokaalne plombeerimine episkleraalse implantaadiga;1.1.2003
CKC65;Implantaadi eemaldamine skleeralt;1.1.2003
CKC70;Episkleraalne tsirklaaz;1.1.2003
CKC75;Tsirklaazi eemaldamine skleeralt;1.1.2003
CKC99;Muud ekstraokulaarsed operatsioonid klaaskehal ja võrkkestal;1.1.2003
CKD00;Klaaskeha punktsioon dekompressiooniks;1.1.2003
CKD05;Klaaskeha punktsioon koos ravimi süstimisega;1.1.2003
CKD10;Klaaskeha õõne täitmine;1.1.2003
CKD15;Klaaskeha asendaja süstimine;1.1.2003
CKD20;Klaaskeha aseaine eemaldamine;1.1.2003
CKD25;Subretinaalse vedeliku väline dreenimine;1.1.2003
CKD30;Subretinaalse vedeliku sisemine dreenimine;1.1.2003
CKD40;Võrkkesta endofotokoagulatsioon;1.1.2003
CKD45;Võrkkesta endokrüoteraapia;1.1.2003
CKD50;Võrkkesta endodiatermia;1.1.2003
CKD60;Eesmine vitrektoomia;1.1.2003
CKD65;Pars plana või pars plicata vitrektoomia;1.1.2003
CKD70;Preretinaalse või epiretinaalse membraani eemaldamine;1.1.2003
CKD75;Retinotoomia;1.1.2003
CKD80;Retinektoomia;1.1.2003
CKD85;Subretinaalse membraani või väädi eemaldamine;1.1.2003
CKD90;Subretinaalse hematoomi eemaldamine;1.1.2003
CKD99;Muud silmasisesed operatsioonid klaaskehal ja võrkkestal;1.1.2003
CKE00;Pärissoonkesta kahjustuse ekstsisioon;1.1.2003
CKE10;Pärissoonkesta kahjustuse transpupillaarne fotokoagulatsioon;1.1.2003
CKE15;Pärissoonkesta kahjustuse endofotokoagulatsioon;1.1.2003
CKE20;Pärissoonkesta kahjustuse ekstsisioon;1.1.2003
CKE30;Võrkkesta kahjustuse ekstsisioon;1.1.2003
CKE40;Võrkkesta kahjustuse transpupillaarne fotokoagulatsioon;1.1.2003
CKE45;Võrkkesta kahjustuse endofotokoagulatsioon;1.1.2003
CKE50;Võrkkesta kahjustuse krüoteraapia;1.1.2003
CKE60;Pärissoonkesta ja võrkkesta brahhüteraapia;1.1.2003
CKE65;Brahhüterapeutilise plaadi eemaldamine silmast;1.1.2003
CKE99;Muu operatsioon pärissoonkesta või võrkkesta kahjustuse korral;1.1.2003
CKW99;Muu operatsioon pärissoonkestal, klaaskehal ja võrkkestal;1.1.2003
CWA00;Haava dehistsentsi korrektsioon silmas ja temaga külgnevatel struktuuridel;1.1.2003
CWB00;Kordusoperatsioon pindmise infektsiooni korral silmas ja temaga külgnevatel struktuuridel;1.1.2003
CWC00;Kordusoperatsioon süvainfektsiooni korral silmas ja temaga külgnevatel struktuuridel;1.1.2003
CWD00;Kordusoperatsioon pindmise verejooksu korral silmas ja temaga külgnevatel struktuuridel;1.1.2003
CWE00;Kordusoperatsioon sisemise verejooksu korral silmas ja temaga külgnevatel struktuuridel;1.1.2003
CWF00;Kordusoperatsioon anastomoosi või õmbluse dehistsentsi korral silmas ja temaga külgnevatel struktuuridel;1.1.2003
CWW99;Muu kordusoperatsioon silmas ja temaga külgnevatel struktuuridel;1.1.2003
DAA00;Kõrvalesta intsisioon;1.1.2003
DAB00;Kõrvalesta lesiooni ekstsisioon;1.1.2003
DAB10;Kõrvalesta osaline ekstsisioon;1.1.2003
DAB20;Kõrvalesta fistuli ekstsisioon;1.1.2003
DAC00;Võõrkeha eemaldamine kõrvalestast;1.1.2010
DAD00;Kõrvalesta suturatsioon;1.1.2003
DAD10;Kõrvalesta rekonstruktsioon;1.1.2003
DAD20;Kõrvalesta proteesi luuline fiksatsioon;1.1.2003
DAD30;Kõrvalesta plastiline korrektsioon;1.1.2003
DAW99;Muu operatsioon kõrvalestal;1.1.2003
DBA00;Väliskuulmekäigu intsisioon;1.1.2003
DBB00;Väliskuulmekäigu lesiooni ekstsisioon;1.1.2003
DBD00;Väliskuulmekäigu suturatsioon;1.1.2003
DBD10;Väliskuulmekäigu rekonstruktsioon;1.1.2003
DBD20;Väliskuulmekäigu plastiline korrektsioon;1.1.2003
DBD30;Väliskuulmekäigu atreesia korrektsioon;1.1.2003
DBW99;Muu operatsioon väliskuulmekäigul;1.1.2003
DCA00;Trummikile või keskkõrva biopsia;1.1.2003
DCA10;Trummikile paratsentees;1.1.2003
DCA20;Trummikile sunteerimine;1.1.2003
DCA30;Keskkõrva eksploratsioon;1.1.2003
DCB00;Keskkõrva lesiooni ekstsisioon;1.1.2003
DCB10;Keskkõrva liidetest vabastamine;1.1.2003
DCB20;Keskkõrva osaline ekstsisioon;1.1.2003
DCB30;Keskkõrva totaalne ekstsisioon;1.1.2003
DCC00;Võõrkeha kõrvaldamine keskkõrvast;1.1.2003
DCD00;Müringoplastika;1.1.2003
DCD10;Tümpanoplastika;1.1.2003
DCW00;Ventileeriva toru eemaldamine trummikilest;1.1.2003
DCW99;Muu operatsioon trummiõõnel või keskkõrval;1.1.2003
DDA00;Stapedotoomia;1.1.2003
DDA10;Luulise ahela eksploratsioon;1.1.2003
DDB00;Stapedektoomia;1.1.2003
DDC00;Proteesi eemaldamine luulisest ahelast;1.1.2003
DDD00;Jaluse mobilisatsioon;1.1.2003
DDD05;Luulise ahela plastiline korrektsioon;1.1.2003
DDD10;Vasara ja jaluse vaheline interpositsioon;1.1.2003
DDD20;Trummiõõne ja jalusplaadi vaheline interpositsioon;1.1.2003
DDD30;Trummikile fiksatsioon jalusele;1.1.2003
DDD40;Trummikile fiksatsioon jalusplaadile;1.1.2003
DDW99;Muu operatsioon kuulmeluukestel;1.1.2003
DEA00;Nibujätke või oimuluu biopsia;1.1.2003
DEA10;Attiko-antrotoomia;1.1.2003
DEB00;Kortikaalne mastoidektoomia;1.1.2003
DEB10;Attiko-antro-mastoidektoomia;1.1.2003
DEB20;Attiko-antro-mastoidektoomia ja tümpanotoomia;1.1.2003
DEB25;Attiko-antro-mastoidektoomia ja tümpanoplastika;1.1.2003
DEB30;Radikaalne mastoidektoomia;1.1.2003
DEB40;Nibujätke osaline ekstsisioon;1.1.2003
DEB50;Oimuluu osaline ekstsisioon;1.1.2003
DEB60;Oimuluu totaalne ekstsisioon;1.1.2003
DEC00;Võõrkeha eemaldamine nibujätkest või oimuluust;1.1.2010
DED00;Nibujätke osalise ekstsisiooni järgne õõne obliteratsioon;1.1.2003
DEE00;Kuulmisabivahendi luuline fiksatsioon;1.1.2003
DEW99;Muu operatsioon nibujätkel ja oimuluul;1.1.2003
DFA00;Sakotoomia;1.1.2003
DFA10;Püramiidi tipu translabürintaalne eksploratsioon;1.1.2003
DFB00;Labürintektoomia;1.1.2003
DFB10;Labürindi destruktsioon;1.1.2003
DFC00;Võõrkeha eemaldamine sisekõrvast;1.1.2003
DFD00;Sisekõrva esiku fenestratsioon;1.1.2003
DFD10;Ovaalakna rekonstruktsioon;1.1.2003
DFD20;Ümarakna ruptuuri sulgemine;1.1.2003
DFD30;Perilümfaatilise fistuli sulgemine;1.1.2003
DFE00;Teo implanteerimine;1.1.2003
DFW99;Muu operatsioon sisekõrval;1.1.2003
DGA00;Kuulmetõrve biopsia;1.1.2003
DGB00;Kuulmetõrve obliteratsioon;1.1.2003
DGW00;Kuulmetõrve dilatatsioon;1.1.2003
DGW99;Muu operatsioon kuulmetõrves;1.1.2003
DHA00;Nina intsisioon;1.1.2003
DHA10;Ninaõõne biopsia;1.1.2003
DHB00;Välisnina lesiooni ekstsisioon;1.1.2003
DHB10;Ninaõõne lesiooni ekstsisioon;1.1.2003
DHB20;Ninaõõne polüpektoomia;1.1.2003
DHB30;Koaani polüpektoomia läbi ülalõualuu koopa;1.1.2003
DHB40;Konhotoomia;1.1.2003
DHB50;Konhoplastika;1.1.2003
DHC05;Penetreeruva võõrkeha eemaldamine ninast;1.1.2010
DHC10;Ninaluust implantaadi eemaldamine;1.1.2003
DHD00;Ninasisene suturatsioon;1.1.2003
DHD10;Ninaluumurru kinnine paigaldamine;1.1.2003
DHD20;Ninaluumurru lahtine paigaldamine;1.1.2003
DHD30;Ninaluumurru osteosüntees;1.1.2003
DHW99;Muu operatsioon ninal;1.1.2003
DJA00;Ninavaheseina intsisioon;1.1.2003
DJA10;Ninavaheseina biopsia;1.1.2003
DJA20;Põhiluukoopa transseptaalne avamine;1.1.2003
DJB10;Ninavaheseina ekstsisioon;1.1.2003
DJD00;Ninavaheseina suturatsioon;1.1.2003
DJD10;Ninavaheseina perforatsiooni sulgemine;1.1.2003
DJD20;Ninavaheseina plastiline korrektsioon;1.1.2003
DJD30;Ninavaheseina murru kinnine paigaldamine;1.1.2003
DJD40;Ninavaheseina murru lahtine paigaldamine;1.1.2003
DJW99;Muu operatsioon ninavaheseinal;1.1.2003
DKW00;Nina limaskesta kauterisatsioon;1.1.2003
DKW10;Ninaõõne tamponeerimine;1.1.2003
DKW20;Ninaneelu tamponeerimine;1.1.2003
DKW30;Ninasisese arteri kauterisatsioon;1.1.2003
DKW40;Ninasisese arteri ligeerimine;1.1.2003
DKW99;Muud protseduurid ninaverejooksu kontrollimiseks;1.1.2003
DLD00;Ninakõhre rekonstruktsioon;1.1.2003
DLD10;Ninaluu ja –kõhre rekonstruktsioon;1.1.2003
DLD20;Rinoplastika;1.1.2003
DLD25;Koanaalatreesia korrektsioon;1.1.2003
DLD30;Nina konstruktsioon;1.1.2003
DLW99;Muud plastilised operatsioonid ninal;1.1.2003
