OPR	OPRNAVN
KCHF99	Operation på corpus ciliare, anden
KCHW	Andre op.på camera ant, kammervinkel, iris og corpus ciliar
KCHW99	Op. på camera ant, kammervinkel, iris, corp ciliare, anden
KCJ	Operationer på lens
KCJB	Operationer ved sekundær katarakt
KCJB00	Discissio cataractae secundariae
KCJB10	Discissio (laser) cataractae secundariae
KCJB20	Skylning og polering af sekundær katarakt
KCJB30	Excision af sekundær katarakt
KCJB99	Operation ved sekundær katarakt, anden
KCJC	Intrakapsulær kataraktoperation
KCJC00	Extractio cataractae intracapsularis
KCJC05	Extractio cat. intracapsularis cum iridectomia/iridotomia
KCJC10	Extr. cat. intracaps. cum implant. pseudophakiae (anterior)
KCJC15	Extr. cat. intracaps/implant. pseudophakiae (ant), iridect.
KCJC20	Extr. cat. intracaps. cum implant. pseudophakiae (posterior
KCJC25	Extr. cat. intracaps/implant. pseudophakiae (post), iridect
KCJC99	Kataraktoperation, anden intrakapsulær
KCJD	Ekstrakapsulær kataraktoperation
KCJD00	Extractio cataractae extracapsularis
KCJD05	Extractio cataractae extracaps. cum iridectomia/iridotomia
KCJD10	Extr. cat. extracaps. cum implant. pseudophakiae (anterior)
KCJD15	Extr. cat. extracaps/implant. pseudophakiae (ant.), iridect
KCJD20	Extr. cat. extracaps. cum implant. pseudophakiae (posterior
KCJD25	Extr. cat. extracaps/implant. pseudophakiae (post.), iridec
KCJD30	Lensectomia (via pars plana)
KCJD99	Kataraktoperation, anden ekstrakapsulær
KCJE	Ekstrakapsulær kataraktoperation med phako-emulsifikation
KCJE00	Phako-emulsificatio
KCJE05	Phako-emulsificatio c iridectomia/iridotomia
KCJE10	Phako-emulsificatio c implantatio pseudophakiae (camera ant
KCJE15	Phako-emuls c implant pseudophakiae (ant), iridectomia
KCJE20	Phako-emulsificatio c implantatio pseudophakiae (cam. post)
KCJE25	Phako-emuls c implant pseudophakiae (post) et iridectomia
KCJE99	Operation med phako-emulsifikation, anden
KCJF	Andre operationer ved kunstig linse
KCJF00	Implantatio pseudophakiae secundariae (camera anterior)
KCJF10	Implantatio pseudophakiae secundariae (camera posterior)
KCJF20	Extractio pseudophakiae
KCJF30	Repositio pseudophakiae
KCJF40	Extractio et implantatio pseudophakiae (camera anterior)
KCJF45	Extractio et implantatio pseudophakiae (ant) cum iridect.
KCJF50	Extractio et implantatio pseudophakiae (camera posterior)
KCJF55	Extractio et implantatio pseudophakiae (post.) c iridectomi
KCJF99	Operation ved kunstig linse, anden
KCJG	Operationer ved linseluxation
KCJG00	Extractio lentis luxatae
KCJG05	Extractio lentis luxatae cum iridectomia/iridotomia
KCJG10	Extr. lentis lux. cum implantatio pseudophakiae (anterior)
KCJG15	Extr. lentis lux. c implant. pseudophakiae (ant), iridect.
KCJG20	Extr. lentis lux. cum implantatio pseudophakiae (posterior)
KCJG25	Extr. lentis lux. c implant. pseudophakiae (post), iridect.
KCJG99	Operation ved linseluxation, anden
KCJW	Andre operationer på lens
KCJW99	Operation på lens, anden
KCK	Operationer ved sygd. i chorioidea, retina og corpus vitreum
KCKA	Biopsi fra chorioidea/corpus vitreum/retina
KCKA00	Excisio probatoria chorioideae
KCKA10	Excisio probatoria corpus vitreum
KCKA20	Excisio probatoria retinae
KCKB	Operationer ved chorioidalafløsning
KCKB00	Punktur og udtømning af suprachorioidal væske
KCKB10	Punkt/tømning af suprachorioidal væske m inj. af silic e.l.
KCKB99	Operation ved chorioidalafløsning, anden
KCKC	Ekstraokulære operationer på corpus vitreum og retina
KCKC00	Fotoruptur i corpus vitreum
KCKC10	Photocoagulatio retinae (lokal)
KCKC10A	Photocoagulatio retinae (lokal), argonlaser
KCKC10B	Photocoagulatio retinae (lokal), diodelaser
KCKC15	Photocoagulatio retinae (panretinal)
KCKC15A	Photocoagulatio retinae (panretinal), argonlaser
KCKC15B	Photocoagulatio retinae (panretinal), diodelaser
KCKC20	Kryopexi på tilliggende retina
KCKC30	Kryopexi ved afløst retina
KCKC40	Electrocoagulatio retinae
KCKC50	Transskleral laserterapi af retina
KCKC60	Impressio sclerae (med implantat)
KCKC65	Fjernelse af implantat fra corpus vitreum/retina
KCKC70	Invaginatio sclerae (cerclage)
KCKC75	Fjernelse af cerclage (sclera)
KCKC99	Operation på corpus vitreum og retina, anden ekstraokulær
KCKD	Intrabulbære operationer på corpus vitreum og retina
KCKD00	Punctura corporis vitrei decompressiva
KCKD05	Punctura corporis vitrei cum injectione medicamentale
KCKD10	Injektion af luft/gas i corpus vitreum
KCKD15	Injektion af silicone o.l. i corpus vitreum
KCKD20	Fjernelse af corpus vitreum substitut
KCKD25	Drænage af subretinal væske, ekstern
KCKD30	Drænage af subretinal væske, intern
KCKD40	Endophotocoagulatio retina
KCKD45	Endocryotherapia retina
KCKD50	Endodiathermia retina
KCKD60	Vitrectomia anterior
KCKD65	Vitrectomia via pars plana/pars plicata
KCKD70	Excision af præretinal (epiretinal) membran
KCKD75	Retinotomia
KCKD80	Retinectomia
KCKD85	Fjernelse af subretinal membran (streng)
KCKD90	Fjernelse af subretinal blødning
KCKD99	Intrabulbært operation på corpus vitreum og retina, andet
KCKE	Operationer ved vævsforandring på chorioidea og retina
KCKE00	Excisio tumoris chorioideae
KCKE10	Photocoagulatio (transpupillae) tumoris chorioideae
KCKE15	Endophotocoagulatio tumoris chorioideae
KCKE20	Kryotherapia tumoris chorioideae
KCKE30	Excisio tumoris retinae
KCKE40	Photocoagulatio (transpupillae) tumoris retinae
KCKE45	Endophotocoagulatio tumoris retinae
KCKE50	Kryotherapia tumoris retinae
KCKE60	Implantation af strålekilde i eller ved øje
KCKE65	Fjernelse af strålekilde i eller ved øje
KCKE99	Operation ved vævsforandring på chorioidea og retina, andet
KCKW	Andre op. ved sygdom i chorioidea, corpus vitreum og retina
KCKW99	Op. ved sygd. i chorioidea, corpus vitreum og retina, anden
KCW	Reoperationer efter operation på øjet og dets omgivelser
KCWA	Sutur ved sårruptur efter operation på øjet
KCWA00	Sutur ved sårruptur efter op. på øjet og øjenomgivelser
KCWB	Reoperation for overfladisk sårinfektion efter op. på øjet
KCWB00	Reop. for overfl sårinfek efter op på øjet og øjenomgivelse
KCWC	Reoperation for dyb infektion efter operation på øjet
KCWC00	Reop. for dyb infektion efter op. på øjet og øjenomgivelser
KCWD	Reoperation for overfladisk blødning efter operation på øje
KCWD00	Reop. for overfl blødning eft op. på øjet og øjenomgivelser
KCWE	Reoperation for dyb blødning efter operation på øjet
KCWE00	Reop. for dyb blødning efter op. på øjet og øjenomgivelser
KCWW	Anden reoperation efter operation på øjet
KCWW99	Reoperation efter operation på øjet og øjenomgivelser, ande
KD	Operationer på øre, næse, hals og strubehoved
KDA	Operationer på ydre øre
KDAA	Operationer på ydre øre, biopsi, exploration, incision
KDAA00	Incisio auris externa
KDAA10	Excisio probatoria auris externa
KDAB	Operationer på ydre øre, excision, ablatio
KDAB00	Resectio auris externae
KDAB20	Operatio pro fistula auris externae
KDAD	Operationer på ydre øre, rekonstruktion
KDAD00	Sutura auris externae
KDAD10	Reconstructio auris externae
KDAD20	Fiksation af aurikulær protese. ossøs
KDAD30	Operatio plastica auris externae (inkl. aure alata)
KDAW	Operationer på ydre øre, andre
KDAW99	Operation på ydre øre, anden
KDB	Operationer på øregang
KDBA	Operationer på øregang, biopsi, exploration, incision
KDBA00	Excisio probatoria meatus acustici externi
KDBB	Operationer på øregang, excison, ablatio
KDBB00	Excisio tumoris meatus acustici externi
KDBD	Operationer på øregang, rekonstruktion
KDBD00	Sutura meatus acustici externi
KDBD10	Reconstructio meatus acustici externi
KDBD20	Operatio plastica meatus acustici externi
KDBD30	Operatio pro atresia meatus acustici externi
KDBW	Operationer på øregang, andre
KDBW99	Operation på øregang, anden
KDC	Operationer på trommehinde og mellemøre
KDCA	Op.på trommehinde og mellemøre, biopsi,exploration,incision
KDCA00	Excisio probatoria membranae tympani/auris mediae
KDCA10	Paracentesis
KDCA20	Tubulatio membranae tympani
KDCA25	Tubulatio auris mediae
KDCA30	Exploratio auris mediae
KDCB	Op. på trommehinde og mellemøre, excision, ablatio
KDCB00	Excisio tumoris auris mediae
KDCB10	Lysis adhaesiones auris mediae
KDCB20	Resectio cavi tympani partialis
KDCB30	Resectio cavi tympani totalis
KDCC	Op. på trommehinde og mellemøre, fjern. af fremmedlegeme
KDCC00	Amotio corporis alieni auris mediae
KDCD	Op.på trommehinde og mellemøre, rekonstruktion
KDCD00	Operatio myringoplastica
KDCD10	Operatio tympanoplastica
KDCW	Operationer på trommehinde og mellemøre, andre
KDCW00	Amotio tubulationis auris mediae
KDCW10	Amotio tubulationis membranae tympani
KDCW99	Operation på trommehinde og mellemøre, anden
KDD	Operationer på de små øreknogler
KDDA	Op. på de små øreknogler, biopsi, exploration, incision
KDDA00	Stapedotomia
KDDB	Operationer på de små øreknogler, excision, ablatio
KDDB00	Stapedectomia
KDDD	Operationer på de små øreknogler, rekonstruktion
KDDD00	Stapedolysis
KDDD05	Operatio ossiculoplastica
KDDD10	Interposition mellem malleus og stapes
KDDD20	Interposition mellem trommehinde og stapesplade
KDDD30	Pexi mellem trommehinde og stapes
KDDD40	Pexi mellem trommehinde og stapesplade
KDDW	Operationer på de små øreknogler, andre
KDDW99	Operation på de små øreknogler, anden
KDE	Operationer på processus mastoideus og os temporale
KDEA	Op.på proc.mastoid. og os temporale, biopsi,explor,incision
KDEA00	Excisio probatoria ossis mastoidei/temporale
KDEA10	Attico-antrotomi
KDEB	Op. på proc.mastoid. og os temporale, excision, ablatio
KDEB00	Kortikal mastoidektomi
KDEB10	Attico-antro-mastoidektomi
KDEB20	Attico-antro-mastoidektomi og tympanotomi
KDEB25	Attico-antro-mastoidektomi og tympanoplastik
KDEB30	Mastoidectomia radicalis
KDEB40	Resectio processus mastoidei
KDEB50	Resectio ossis temporalis
KDEB60	Excisio ossis temporalis
KDED	Op. på proc.mastoideus og os temporale, rekonstruktion
KDED00	Obliteration af cavitet efter resektion af proc. mastoideus
KDEW	Op. på proc.mastoideus og os temporale, andre
KDEW99	Operation på processus mastoideus og os temporale, anden
KDF	Operationer på indre øre
KDFA	Operationer på indre øre, biopsi, exploration, incision
KDFA00	Saccotomia
KDFA10	Exploration af pyramidespids, translabyrintær
KDFB	Operationer på indre øre, excision, ablatio
KDFB00	Labyrinthectomia
KDFB10	Labyrintdestruktion
KDFC	Operationer på indre øre, fjern. af fremmedlegeme
KDFC00	Amotio corporis alieni auris interna
KDFD	Operationer på indre øre, rekonstruktion
KDFD00	Fenestratio canaliculi vestibularis
KDFD10	Rekonstruktion af foramen ovale
KDFD20	Occlusio rupturae fenestrum rotundum
KDFD30	Lukning af perilymfatisk fistel
KDFE	Operationer på indre øre, implantation af fremmed materiale
KDFE00	Anbringelse af implantat i cochlea
KDFW	Operationer på indre øre, andre
KDFW99	Operation på indre øre, anden
KDG	Operationer på tuba Eustachica
KDGA	Operationer på tuba Eustachica, biopsi, explorat, incision
KDGA00	Excisio probatoria tubae Eustachii
KDGB	Operationer på tuba Eustachica, excison, ablatio
KDGB00	Obliteratio tubae Eustachii
KDGW	Operationer på tuba Eustachica, andre
KDGW00	Dilatatio tubae Eustachii
KDGW99	Operation på tuba Eustachica, anden
KDH	Operationer på næsen
KDHA	Operationer på næsen, biopsi, exploration, incision
KDHA00	Incisio nasi
KDHA05	Excisio probatoria nasi externi
KDHA10	Excisio probatoria cavi nasi
KDHB	Operationer på næsen, excision, ablatio
KDHB00	Excisio tumoris nasi externi
KDHB10	Excisio tumoris cavi nasi
KDHB20	Evulsio polypi cavi nasi
KDHB30	Evulsio polypi choanalis (per viam sinus maxillaris)
KDHB40	Conchotomia
KDHB50	Turbinoplastik
KDHC	Operationer på næsen, fjernelse af fremmedlegeme
KDHC00	Amotio corporis alieni nasi
KDHD	Operationer på næsen, rekonstruktion
KDHD00	Sutura nasi interna
KDHD10	Repositio fractura nasi (non aperta)
KDHD20	Repositio fractura nasi (aperta)
KDHD30	Osteosyntesis ossium nasalium
KDHW	Operationer på næsen, andre
KDHW99	Operation på næsen, anden
KDJ	Operationer på næseseptum
KDJA	Operationer på næseseptum, biopsi, exploration, incison
KDJA00	Incisio septi nasi
KDJA10	Excisio probatoria septi nasi
KDJA20	Transseptal åbning af sinus sphenoidalis
KDJB	Operationer på næseseptum, excision, ablatio
KDJB10	Resectio, excisio septi nasi
KDJD	Operationer på næseseptum, rekonstruktion
KDJD00	Sutura septi nasi
KDJD10	Operatio pro perforatione septi nasi
KDJD20	Operatio plastica septi nasi
KDJD30	Repositio fractura septi nasi (non aperta)
KDJD40	Repositio fractura septi nasi (aperta)
KDJW	Operationer på næseseptum, andre
KDJW99	Operation på næseseptum, anden
KDK	Operationer ved næseblødning
KDKW	Operationer ved næseblødning
KDKW00	Coagulatio mucosae nasi
KDKW10	Næsetamponade, forreste
KDKW20	Næsetamponade, bageste
KDKW30	Coagulatio arteria nasi
KDKW40	Ligatura arteria nasi
KDKW99	Operation ved næseblødning, anden
KDL	Rhinoplastiske operationer
KDLD	Rhinoplastiske operationer
KDLD00	Rekonstruktion af næsens bruskskelet
KDLD10	Rekonstruktion af næsens brusk og knogleskelet
KDLD20	Operatio plastica nasi externi
KDLD30	Reconstructio nasi externi
KDLW	Rhinoplastiske operationer, andre
KDLW99	Operation, anden rhinoplastisk
KDM	Operationer på sinus maxillaris
KDMA	Operationer på sinus maxillaris, biopsi, explorat, incison
KDMA00	Excisio probatoria sinus maxillaris
KDMA10	Exploratio sinus maxillaris
KDMB	Operationer på sinus maxillaris, excision, ablatio
KDMB00	Trepanatio sinus maxillaris endonasalis
KDMB10	Resectio sinus maxillaris et operation radicalis
KDMB20	Åbning af sinus maxillaris, endoskopisk
KDMB30	Excisio tumoris sinus maxillaris, transmaxillaris
KDMB40	Excisio tumoris sinus maxillaris, rhinotomia lateralis
KDMC	Operationer på sinus maxillaris, fjern. af fremmedlegeme
KDMC00	Amotio corporis alieni sinus maxillaris
KDMW	Operationer på sinus maxillaris, andre
KDMW00	Tubulatio sinus maxillaris
KDMW99	Operation på sinus maxillaris, anden
KDN	Operationer på sinus og os ethmoidale
KDNA	Op. på sinus og os ethmoidale, biopsi, explorat, incision
KDNA00	Excisio probatoria ethmoidalis
KDNB	Operationer på sinus og os ethmoidale, excison, ablatio
KDNB00	Ethmoidectomia externa
KDNB10	Ethmoidectomia endonasalis
KDNB20	Ethmoidectomia endoscopica
KDNB30	Excisio tumoris sinus ethmoidalis
KDNB40	Rhinotomia sublabialis
KDNC	Op. på sinus og os ethmoidale, fjern. af fremmedlegeme
KDNC00	Amotio corporis alieni sinus ethmoidalis
KDNW	Operationer på sinus og os ethmoidale, andre
KDNW99	Operation på sinus og os ethmoidale, anden
KDP	Operationer på sinus frontale og sphenoidale
KDPA	Op.på sinus frontale og sphenoidale, biopsi,explor,incision
KDPA00	Excisio probatoria sinus frontalis
KDPA10	Excisio probatoria sinus sphenoidalis
KDPA20	Trepanatio sinus frontalis
KDPA30	Sphenotomia
KDPB	Op. på sinus frontale og sphenoidale, exicison, ablatio
KDPB00	Resectio sinus frontalis
KDPB10	Resectio sinus sphenoidalis
KDPB20	Obliteratio sinus frontalis
KDPW	Operationer på sinus frontale og sphenoidale, andre
KDPW00	Tubulatio sinus frontalis
KDPW10	Tubulatio sinus sphenoidalis
KDPW99	Operation på sinus frontale og sphenoidale, anden
KDQ	Operationer på larynx
KDQA	Operationer på larynx, biopsi, exploration, incision
KDQA00	Incisio laryngis
KDQA10	Excisio probatoria laryngis
KDQA20	Laryngofissura explorativa
KDQB	Operationer på larynx, excison, ablatio
KDQB00	Excisio tumoris laryngis
KDQB10	Excisio tumoris laryngis endoscopica
KDQB20	Resectio laryngis
KDQB30	Laryngectomia
KDQB40	Laryngectomia supraglottica
KDQB50	Hemilaryngectomia
KDQB60	Aryotenoidectomia
KDQB70	Excision af stemmebånd
KDQB80	Operatio pro strictura plicae vocalis
KDQC	Operationer på larynx, fjernelse af fremmedlegeme
KDQC00	Amotio corporis alieni laryngis
KDQC10	Amotio corporis alieni laryngis endoscopica
KDQD	Operationer på larynx, rekonstruktion
KDQD00	Laterofixatio plicae vocalis
KDQD10	Sutura laryngis
KDQD20	Reconstructio laryngis (med fri slimhinde)
KDQD30	Reconstructio laryngis (med stilket lap)
KDQD40	Operatio plastica laryngis
KDQD50	Stent i larynx, endoskopisk placering
KDQE	Operationer på larynx, implantation af fremmed materiale
KDQE00	Implantatio prostheseos laryngis
KDQE10	Injectio tefloni/paraffini plicae vocalis
KDQW	Operationer på larynx, andre
KDQW99	Operation på larynx, andet
KDW	Reoperationer efter opr. på øre, næse, hals og strubehoved
KDWA	Sutur af sårrupt. eft. op. på øre, næse, hals og strubehove
KDWA00	Sutur af sårrupt. eft. op. på øre, næse, hals og strubehove
KDWB	Reop.for overfl sårinfek, op. øre, næse, hals og strubehove
KDWB00	Reop.for overfl sårinfek, op. øre, næse, hals og strubehove
KDWC	Reop.for dyb infek, eft. op. øre, næse, hals og strubehoved
KDWC00	Reop.for dyb infek, eft. op. øre, næse, hals og strubehoved
KDWD	Reop.for overfl blødn., op. på øre, næse, hals, strubehoved
KDWD00	Reop.for overfl blødn., op. på øre, næse, hals, strubehoved
KDWE	Reop.for dyb blødning, op. på øre, næse, hals og strubehove
KDWE00	Reop.for dyb blødning eft. op. på øre,næse,hals,strubehoved
KDWF	Reop.for suturinsuff efter op, øre, næse, hals, strubehoved
KDWF00	Reop.for suturinsuff efter op, øre, næse, hals, strubehoved
KDWW	Anden reop. efter operat. på øre, næse, hals og strubehoved
KDWW99	Anden reop. efter operat. på øre, næse, hals og strubehoved
KE	Operationer på tænder, kæber, mund og svælg
KEA	Operationer på læber
KEAA	Resectio/incisio labii
KEAA00	Excisio probatoria labii
KEAA05	Incisio labii
KEAA10	Excisio tumoris labii
KEAA20	Resektion af overlæbe
KEAA30	Resektion af underlæbe
KEAA99	Resektion/excision af læbe, anden
KEAB	Rekonstruktive operationer på læber
KEAB00	Sutura labii (inkl. sårrevision)
KEAB10	Excision og plastik af læbefrenulum
KEAB20	Rekonstruktion eller -plastik af læbe
KEAB30	Rekonstruktion eller -plastik af læbe ved læbespalte
KEAB99	Rekonstruktiv operation på læber, anden
KEAW	Andre operationer på læber
KEAW00	Fjernelse af fremmedlegeme fra læbe
KEAW99	Operation på læber, anden
KEB	Operationer på tænder
KEBA	Tandekstraktion og resektion
KEBA00	Extractio dentis
KEBA10	Extractio dentis operativa
KEBA20	Hemisectio dentis
