AAA00  Explorativ kraniotomi
CJG20  Extraktion av luxerad lins med implantation av linsprotes i bakre kammaren
CJG25  Extraktion av luxerad lins med iridektomi eller iridotomi och implantation av linsprotes i bakre kammaren
CJG99  Annan operation vid luxerad naturlig lins
CJW99  Annan operation p† linsen
CKA00  Biopsi av †derhinna
CKA10  Biopsi av glaskropp
CKA20  Biopsi av n„thinna
CKB00  Punktion och t”mning av suprakorioidal v„tska
CKB10  Punktion och t”mning av suprakorioidal v„tska och injektion av glaskroppssubstitut
CKB99  Annan operation vid korioidalavlossning
CKC00  Fotoruptur i glaskroppen
CKC10  Fotokoagulation av n„thinna, lokal
CKC15  Fotokoagulation av n„thinna, panretinal
CKC20  Kryopexi p† tilliggande n„thinna
CKC30  Kryopexi p† avl”st n„thinna
CKC40  Elektrokoagulation av n„thinna
CKC50  Transskleral laserbehandling
CKC60  Anbringande av episkleral plomb
CKC65  Avl„gsnande av episkleral plomb
CKC70  Anbringande av episkleralt cerclage
CKC75  Avl„gsnande av episkleralt cerclage
CKC99  Annan extraokul„r operation p† †derhinna, n„thinna och glaskropp
CKD00  Dekompressiv punktion av glaskroppen
CKD05  Injektion av l„kemedel i glaskroppen
CKD10  Injektion av luft eller gas i glaskroppen
CKD15  Injektion av glaskroppssubstitut
CKD20  Avl„gsnande av glaskroppssubstitut
CKD25  Externt dr„nage av subretinal v„tska
CKD30  Internt dr„nage av subretinal v„tska
CKD40  Endofotokoagulation av n„thinna
CKD45  Endokryokoagulation av n„thinna
CKD50  Endodiatermi av n„thinna
CKD60  Fr„mre vitrektomi
CKD65  Vitrektomi genom pars plana eller pars plicata
CKD70  Excision av preretinalt eller epiretinalt membran
CKD75  Retinotomi
CKD80  Retinektomi
CKD85  Avl„gsnande av subretinalt membran m m
CKD90  Avl„gsnande av subretinal bl”dning
CKD99  Annan intraokul„r operation p† †derhinna, n„thinna och glaskropp
CKE00  Exstirpation av tum”r i †derhinna
CKE10  Transpupill„r fotokoagulation av tum”r i †derhinna
CKE15  Endofotokoagulation av tum”r i †derhinna
CKE20  Kryoterapi av tum”r i †derhinna
CKE30  Exstirpation av tum”r i n„thinna
CKE40  Transpupill„r fotokoagulation av tum”r i n„thinna
CKE45  Endofotokoagulation av tum”r i n„thinna
CKE50  Kryoterapi av tum”r i n„thinna
CKE60  Str†lbehandling av intraokul„r tum”r (inl„ggande av str†lk„lla)
CKE65  Extraktion av str†lk„lla
CKE99  Annan operation vid v„vnadsf”r„ndring i †derhinna och n„thinna
CKW99  Annan operation p† †derhinna, n„thinna och glaskropp
CWA00  Reoperation f”r s†rruptur
CWB00  Reoperation f”r ytlig infektion
CWC00  Reoperation f”r djup infektion
CWD00  Reoperation f”r ytlig bl”dning
CWE00  Reoperation f”r djup bl”dning
CWF00  Reoperation f”r anastomos- eller suturinsufficiens
CWW99  Annan reoperation i ”gonregionen
DAA00  Incision av ytter”rat
DAB00  Resektion av tum”r m m fr†n ytter”rat
DAB10  Resektion av ytter”rat
DAB20  Avl„gsnande av preaurikul„r fistel
DAD00  Sutur av ytter”rat
DAD10  Rekonstruktion av ytter”rat
DAD20  Benfixering av ”ronprotes
DAD30  Plastikoperation av ytter”rat
DAW99  Annan operation p† ytter”rat
DBA00  Incision av yttre h”rselg†ngen
DBB00  Exstirpation (av tum”r, exostos) fr†n h”rselg†ngen
DBB10  Resektion av h”rselg†ngen
DBD00  Sutur av yttre h”rselg†ngen
DBD10  Rekonstruktion av yttre h”rselg†ngen
DBD20  Plastikoperation av yttre h”rselg†ngen
DBD30  Plastikoperation av h”rselg†ngsatresi
DBW99  Annan operation p† h”rselg†ngen
DCA00  Biopsi av trumhinnan eller mellan”rat
DCA10  Paracentes av trumhinnan
DCA20  Anl„ggande av mellan”redr„nage
DCA30  Exploration av mellan”rat
DCB00  Exstirpation (av polyp, granulation m m)
DCB10  Adherensl”sning i mellan”rat
DCB20  Resektion av mellan”rat
DCC00  Avl„gsnande av fr„mmande kropp fr†n mellan”rat
DCD00  Myringoplastik
DCD10  Tympanoplastik
DCW99  Annan operation p† trumhinnan eller mellan”rat
DDA00  Stapedotomi
DDA10  Exploration av h”rselbenskedjan
DDB00  Stapedektomi
DDC00  Borttagande av h”rselbensprotes
DDD00  Mobilisering av stapes
DDD05  H”rselbensplastik
DDD10  Interposition mellan malleus och stapes
DDD20  Interposition mellan trumhinna och stapesplatta
DDD30  Pexi mellan trumhinna och stapes
DDD40  Pexi mellan trumhinna och stapesplatta
DDW99  Annan operation p† h”rselbenskedjan
DEA00  Biopsi av processus mastoideus eller os temporale
DEA10  Endaural attiko-antrotomi
DEB00  Kortikal mastoidektomi
DEB10  Attiko-antro-mastoidektomi
DEB20  Attiko-antro-mastoidektomi och tympanotomi
DEB25  Attiko-antro-mastoidektomi och tympanoplastik
DEB30  Radikal mastoidektomi
DEB40  Resektion av processus mastoideus
DEB50  Resektion av os temporale
DED00  Obliteration av radikalh†la
DEE00  Anbringande av benf”rankrad h”rapparat
DEW99  Annan operation p† processus mastoideus och os temporale
DFA00  Sackotomi
DFA10  Translabyrint„r exploration av pyramidspetsen
DFB00  Labyrintektomi
DFB10  Labyrintdestruktion
DFD00  Fenestration av b†gg†ng
DFD10  Rekonstruktion av ovala f”nstret
DFD20  Rekonstruktion av runda f”nstret
DFD30  Slutning av perilymfatisk fistel
DFE00  Anbringande av kokle„rt implantat
DFW99  Annan operation p† inner”rat
DGA00  Biopsi av ”rontrumpeten
DGB00  Obliteration av ”rontrumpeten
DGW00  Dilatation av ”rontrumpeten
DGW99  Annan operation p† ”rontrumpeten
DHA00  Incision av n„san
DHA10  Biopsi i n„sh†lan
DHB00  Exstirpation fr†n yttern„san
DHB10  Exstirpation endonasalt
DHB20  Polypevulsio
DHB30  Avl„gsnande av koanalpolyp via sinus maxillaris
DHB40  Konkotomi
DHC00  Avl„gsnande av fr„mmande kropp fr†n n„san
DHC10  Avl„gsnande av implantat fr†n n„sbenet
DHD00  Sutur i n„san
DHD10  Sluten reposition av n„sfraktur
DHD20  ™ppen reposition av n„sfraktur
DHD30  Osteosyntes vid n„sfraktur
DHW99  Annan operation p† n„san
DJA00  Incision av n„sseptum
DJA10  Biopsi av n„sseptum
DJA20  ™ppnande av sinus sphenoidalis transseptalt
DJB10  Resektion av n„sseptum
DJD00  Sutur av n„sseptum
DJD10  Tillslutning av n„sseptumperforation
DJD20  Plastikoperation av n„sseptum
DJD30  Sluten reposition av n„sseptumfraktur
DJD40  ™ppen reposition av n„sseptumfraktur
DJW99  Annan operation p† n„sseptum
DKW00  Koagulering av blodk„rl vid n„sbl”dning
DKW10  Fr„mre n„stamponad
DKW20  Bakre n„stamponad
DKW30  Elektrokoagulation vid n„sbl”dning
DKW40  Ligatur av art„r vid n„sbl”dning
DKW99  Annat ingrepp vid n„sbl”dning
DLD00  Korrektionsplastik av n„sans broskskelett
DLD10  Korrektionsplastik av n„sans brosk- och benskelett
DLD20  Yttre n„splastik
DLD25  Korrektionsplastik av koanalatresi
DLD30  Rekonstruktion av n„sa
DLW99  Annan rinoplastikoperation
DMA00  Biopsi av k„kh†la
DMA10  Exploration av k„kh†la
DMB00  Endonasal ”ppning av sinus maxillaris
DMB10  Trepanation av k„kh†lan med bred ”ppning och radikaloperation
DMB20  Endoskopisk ”ppning av sinus maxillaris
DMB30  Transmaxill„r operation
DMB40  Lateral rinotomi
DMC00  Avl„gsnande av fr„mmande kropp fr†n sinus maxillaris
DMW00  Anl„ggande av dr„nage i sinus maxillaris
DMW99  Annan operation p† sinus maxillaris och ”verk„ken
DNA00  Biopsi av sinus ethmoidalis
DNB00  Yttre etmoidektomi
DNB10  Endonasal etmoidektomi
DNB20  Endoskopisk etmoidektomi
DNB30  Exstirpation av lokal f”r„ndring i sinus ethmoidalis
DNC00  Avl„gsnande av fr„mmande kropp fr†n sinus ethmoidalis
DNW99  Annan operation p† sinus ethmoidalis
DPA00  Biopsi av sinus frontalis
DPA10  Biopsi av sinus sphenoidalis
DPA20  Trepanation av sinus frontalis
DPA30  Trepanation av sinus sphenoidalis
DPB00  Resektion av f”r„ndring i sinus frontalis
DPB10  Obliteration av sinus frontalis
DPB20  Resektion av f”r„ndring i sinus sphenoidalis
DPB30  Obliteration av sinus sphenoidalis
DPW00  Inl„ggande av frontonasalt dr„nage
DPW99  Annan operation p† sinus frontalis eller sinus sphenoidalis
DQA00  Incision av larynx
DQA10  Biopsi av larynx
DQA20  Explorativ laryngofissur
DQB00  Resektion av larynxtum”r
DQB10  Endoskopisk exstirpation
DQB30  Laryngektomi
DQB40  Supraglottisk laryngektomi
DQB50  Hemilaryngektomi
DQB60  Arytenoidektomi
DQB70  Exstirpation av st„mband
DQB80  Operation f”r st„mbandsstriktur
DQC00  Avl„gsnande av fr„mmande kropp i struphuvudet
DQD00  Laterofixation av st„mband
DQD10  Sutur av larynx
DQD20  Rekonstruktion av larynx med fri slemhinna
DQD30  Rekonstruktion av larynx med stj„lkad lamb†
DQD40  Plastikoperation p† larynx
DQD42  Tyreoplastik
DQD50  Endoskopiskt inl„ggande av stent i larynx
DQE00  Inl„ggande av larynxprotes
DQE10  Injektion eller implantation av fr„mmande material i st„mband
DQW99  Annan operation p† larynx
DWA00  Reoperation f”r s†rruptur
DWB00  Reoperation f”r ytlig infektion
DWC00  Reoperation f”r djup infektion
DWD00  Reoperation f”r ytlig bl”dning
DWE00  Reoperation f”r djup bl”dning
DWF00  Reoperation f”r anastomos- eller suturinsufficiens
DWW99  Annan reoperation p† ”ron, n„sa, hals och struphuvud
EAA00  Incision av l„pp
EAA10  Exstirpation av lokal f”r„ndring p† l„pp
EAA20  Resektion av ”verl„pp
EAA30  Resektion av underl„pp
EAA99  Annan incision eller resektion av l„pp
EAB00  Sutur av l„pp
EAB10  Excision och plastik av l„ppfrenulum
EAB20  L„pprekonstruktion eller -plastik
EAB30  L„pprekonstruktion eller -plastik p† grund av l„ppspalt
EAB99  Annan rekonstruktion av l„pp
EAW99  Annan operation p† l„ppar
EBA00  Tandextraktion
EBA10  Operativ extraktion av tand
EBA20  Hemisektion av tand
EBA40  Rotspetsresektion
EBA99  Annan extraktion eller resektion av tand
EBB00  Behandling av tandluxation
EBB05  Behandling av tandfraktur
EBB10  Ins„ttning av tandimplantat
EBB15  Ins„ttning av implantatdistans
EBB20  Transplantation av tand
EBB99  Annan rekonstruktion av tand
EBU00  Avl„gsnande av implantat eller externt fixationsmaterial fr†n t„nderna
EBW99  Annan operation p† tand
ECA00  Fril„ggning av tand
ECA10  Incision och dr„nering genom gingiva
ECA20  Biopsi av gingiva
ECA30  Resektion av gingivaf”r„ndring
ECA40  Behandling av parodontalabscess
ECA50  Parodontal operation
ECA60  Exstirpation av fr„mmande f”rem†l i gingiva eller alveolarutskott
ECA99  Annan incision, biopsi eller excision av gingiva och alveolarutskott
ECB00  Sutur av gingiva
ECB05  Slemhinneplastik
ECB10  Rekonstruktion av gingiva
ECB15  Plastikoperation av oronasal eller oroantral fistel
ECB20  Alveolarutskottsplastik
ECB30  Alveolarutskottsplastik med hud eller slemhinnetransplantat
ECB40  Behandling av alveolarutskottsfraktur
ECB50  Alveolarutskottsplastik med bentransplantat eller alloplastiskt material
ECB60  Rekonstruktion av alveolarutskott
ECB99  Annan rekonstruktion av gingiva och alveolarutskott
ECU00  Avl„gsnande av implantat eller externt fixationsmaterial fr†n alveolarutskott
ECW99  Annan operation p† gingiva och alveolarutskott
EDA00  Incision av underk„ke
EDA10  Biopsi av underk„ke
EDB00  Resektion av underk„ke
EDB10  Exstirpation av underk„ke
EDB20  Hemimandibulektomi
EDB30  Koronoidektomi
EDB99  Annan resektion av underk„ke
EDC00  Kondylotomi
EDC05  Segmentosteotomi p† underk„ke
EDC10  Sagittal ramusosteotomi p† underk„ke
EDC15  Vertikal ramusosteotomi p† underk„ke
EDC20  ™vriga ramusosteotomier p† underk„ke
EDC25  Korpusosteotomi eller -ektomi av underk„ke
EDC30  Genioplastik
EDC32  Sluten reposition och immobilisation av kollum- eller kaputfraktur p† underk„ke
EDC34  Sluten reposition och immobilisation av korpusfraktur p† underk„ke
EDC36  ™ppen reposition och intern fixation av kollum- eller kaputfraktur p† underk„ke
EDC38  ™ppen reposition och fixation av korpusfraktur p† underk„ke
EDC42  Rekonstruktion av underk„ke med implantat
EDC45  Rekonstruktion av underk„ke med bentransplantat
EDC99  Annat rekonstruktivt ingrepp p† underk„ke
EDU00  Avl„gsnande av implantat eller externt fixationsmaterial fr†n underk„ke
EDW99  Annan operation p† underk„ke
EEA00  Incision av ”verk„ke
EEA10  Biopsi av ”verk„ke
EEB00  Resektion av ”verk„ke
EEB10  Exstirpation av ”verk„ke
EEB20  Hemimaxillektomi
EEB99  Annan resektion av ”verk„ke
EEC00  Segmentosteotomi i ”verk„ke
EEC05  Le Fort I-osteotomi
EEC10  Le Fort II-osteotomi
EEC15  Le Fort III-osteotomi
EEC20  Sluten reposition och immobilisation av ”verk„ksfraktur
EEC25  ™ppen reposition och osteosyntes av ”verk„ksfraktur
EEC30  Reposition av zygomatico-maxilla-fraktur
EEC35  Reposition och osteosyntes av zygomatico-maxilla-fraktur
EEC40  Anl„ggande av str„ck p† ”verk„ke
EEC42  Rekonstruktion av ”verk„ke med implantat
EEC45  Rekonstruktion av ”verk„ke med bentransplantat
EEC99  Annat rekonstruktivt ingrepp p† ”verk„ke
EEU00  Avl„gsnande av implantat eller externt fixationsmaterial fr†n ”verk„ke
EEW99  Annan operation p† ”verk„ke
EFA10  Exstirpation av tum”r i k„ke
EFA20  Dekortikation av k„ke
EFA40  Fenestration av k„kcysta
EFA50  Exstirpation av k„kcysta
EFA99  Annan resektion av k„ke
EFB10  Benplastik p† k„ke
EFB20  Behandling av multipla ansiktsfrakturer
EFB30  Extern fixation vid behandling av ansiktsfraktur
EFB50  Ortodontisk †tg„rd i samband med ortognatisk kirurgi
EFB60  Plastik av k„kben och/eller ansiktsben med hj„lp av bentransplantat eller alloplastiskt material
EFB99  Annan rekonstruktion av k„ke
EFU00  Avl„gsnande av implantat eller externt fixationsmaterial fr†n k„kar
EFW99  Annan operation p† k„ke
EGA00  K„kledsartroskopi
EGA10  Incision av k„kled
EGA20  Biopsi av k„kled
EGB00  Kondylektomi av k„kled
EGB10  Diskoperation p† k„kled
EGB20  Synovektomi av k„kled
EGB99  Annan resektion av k„kled
EGC00  ™ppen reposition av k„kledsluxation
EGC10  Plastikoperation av k„kled
EGC20  Plastikoperation av k„kled med ben- eller annat transplantat
EGC30  Protesoperation av k„kled
EGC99  Annan rekonstruktion av k„kled egen aortaklaff
EGU00  Avl„gsnande av implantat eller externt fixationsmaterial fr†n k„kled
EGW99  Annan operation p† k„kled
EHA00  Incision av gom
EHA10  Biopsi av gom
EHB00  Excision av lokal f”r„ndring i gom
EHB99  Annan resektion av gom
EHC00  Sutur av gom
EHC10  Plastikoperation vid oronasal eller oroantral fistel i gommen
EHC20  S†rrevision av gom
EHC30  Plastikoperation vid gomspalt
EHC40  Plastikoperation vid dold gomspalt
EHC45  Sekund„r rekonstruktion av gom vid gomspalt
EHC50  Rekonstruktion med farynxlamb† vid gomspalt
EHC60  Rekonstruktion vid kombinerad l„pp- gomspalt
EHC99  Annan rekonstruktion av gom
EHU00  Avl„gsnande av implantat eller externt fixationsmaterial fr†n gom
EHW99  Annan operation p† gom
EJA00  Incision av tunga eller munbotten
EJA10  Biopsi av tunga eller munbotten
EJA20  Avl„gsnande av fr„mmande kropp fr†n tunga eller munbotten
EJB00  Exstirpation av ranula
EJB10  Exstirpation av tungtum”r
EJB20  Exstirpation av tungbastum”r
EJB30  Exstirpation av munbottentum”r
EJB40  Hemiglossektomi
EJB50  Glossektomi
EJB60  Resektion av munbotten
EJB99  Annan resektion av tunga och munbotten
EJC00  Sutur av tunga eller munbotten
EJC20  Tungfrenulumplastik
EJC30  Tungplastik
EJC40  Glossopexi
EJC99  Annan rekonstruktion av tunga och munbotten
EJW99  Annan operation p† tunga och munbotten
EKA00  Incision av kind
EKA10  Biopsi av kind
EKB00  Exstirpation av lokal f”r„ndring i kind
EKB99  Annan resektion av kind
EKC00  Sutur av kind
EKC10  Avl„gsnande av fr„mmande kropp fr†n kind
EKC20  Plastikoperation av kind
EKC30  Rekonstruktion av kind
EKC99  Annat rekonstruktivt ingrepp p† kind
EKW99  Annan operation p† kind
ELA00  Incision av spottk”rtel
ELA10  Sialodokotomi
ELA20  Sialolitotomi
ELA30  Biopsi av spottk”rtel
ELB00  Exstirpation eller exploration av lokal f”r„ndring i spottk”rtel
ELB10  Exstirpation av glandula salivaria minor
ELB20  Exstirpation av glandula sublingualis
ELB30  Exstirpation av glandula submandibularis
ELB40  Resektion av glandula parotis
ELB50  Exstirpation av glandula parotis
ELB99  Annan resektion eller excision av spottk”rtel
ELC00  Sutur av spottk”rtel
ELC30  Ligatur av spottk”rtelg†ng
ELC40  Rekonstruktion av spottk”rtelg†ng
ELC50  Translokation av spottk”rtelg†ng
ELC60  Fisteloperation p† spottk”rtel
ELC99  Annan rekonstruktion av spottk”rtel
ELW99  Annan operation p† spottk”rtel
EMA00  Incision av tonsill
EMA10  Biopsi av tonsill
EMA20  Incision av adenoid
EMA30  Biopsi av nasofarynx
EMB00  Exstirpation av tum”r i tonsill eller adenoid
EMB10  Tonsillektomi
EMB20  Adenotonsillektomi
EMB30  Adenoidektomi
EMB99  Annan resektion eller excision av tonsill eller adenoid
EMC00  Sutur av tonsill eller adenoid
EMC10  Avl„gsnande av fr„mmande kropp fr†n tonsill eller adenoid
EMC99  Annat rekonstruktivt ingrepp p† tonsill och adenoid
EMW99  Annan operation p† tonsill eller adenoid
ENA00  Incision av farynx eller n„rliggande mjukdelar
ENA10  Biopsi av farynx eller n„rliggande mjukdelar
