A083A  Coxsackievirusenterit
Z312X  In vitro-fertilisering, ospecificerad
Z318A  Ovalutionsstimulering f”r superovulation, som fertilitetsfr„mjande †tg„rd
Z318B  Ovalutionsstimulering vid anovulation, som fertilitetsfr„mjande †tg„rd
Z318W  Annan specificerad fertilitetsfr„mjande †tg„rd
Z370A  Enkelb”rd, levande f”tt barn, graviditetsl„ngd ( 22 veckor
Z370B  Enkelb”rd, levande f”tt barn, graviditetsl„ngd 22-27 veckor
Z370C  Enkelb”rd, levande f”tt barn, graviditetsl„ngd > 28 veckor
Z371A  Enkelb”rd, d”df”tt barn, graviditetsl„ngd ( 22 veckor
Z371B  Enkelb”rd, d”df”tt barn, graviditetsl„ngd 22-27 veckor
Z371C  Enkelb”rd, d”df”tt barn, graviditetsl„ngd > 28 veckor
Z910A  Allergi som riskfaktor i patientanamnesen, komj”lksallergi
Z910B  Allergi som riskfaktor i patientanamnesen, „ggallergi
Z910C  Allergi som riskfaktor i patientanamnesen, jordn”t- och n”tallergi
Z910D  Allergi som riskfaktor i patientanamnesen, fisk- och skaldjursallergi
Z910E  Allergi som riskfaktor i patientanamnesen, andra f”do„mnen
Z910F  Allergi som riskfaktor i patientanamnesen, latexallergi
Z910G  Allergi som riskfaktor i patientanamnesen, tidigare anafylaktisk reaktion
Z910H  Allergi som riskfaktor i patientanamnesen, tidigare intensivv†rdskr„vande astma
Z910W  Allergi som riskfaktor i patientanamnesen, allergi eller ”verk„nslighet f”r andra „mnen
Z966B  F”rekomst av ortopediskt ledimplantat i axelled
Z966C  F”rekomst av ortopediskt ledimplantat i armb†ge
Z966D  F”rekomst av ortopediskt ledimplantat i handled/hand
Z966F  F”rekomst av ortopediskt ledimplantat i h”ftled
Z966G  F”rekomst av ortopediskt ledimplantat i kn„led
Z966H  F”rekomst av ortopediskt ledimplantat i fotled/fot
Z966X  F”rekomst av ortopediskt ledimplantat med annan eller icke specificerad lokalisation
