AA027	Innlegging av intracerebral trykkmåler
DDD00	Mobilisering av stapes
DDD05	Rekonstruksjon av ørebenskjeden
DDD10	Interposisjon mellom malleus og stapes
DDD20	Interposisjon mellom trommehinne og stapes
DDD30	Fiksasjon av trommehinne til stapeshode
DDD40	Fiksasjon av trommehinne til stapesplate
DDW99	Annen operasjon på ørebenskjeden
DEA00	Biopsi av processus mastoideus eller tinningbenet
DEA10	Attico-antrotomi
DEB00	Cortical mastoidektomi
DEB10	Attico-antro-mastoidektomi
DEB20	Attico-antro-mastoidektomi og bakre tympanotomi
DEB25	Attico-antro-mastoidektomi og tympanoplastikk
DEB30	Radikal mastoidektomi
DEB40	Mastoidreseksjon
DEB50	Reseksjon av tinningben
DEB60	Eksisjon av tinningben
DED00	Obliterasjon av mastoid reseksjonshule
DEE00	Benforankring av høreapparat
DEW99	Annen operasjon på processus mastoideus eller tinningbenet
DFA00	Saccotomi
DFA10	Translabyrintær eksplorasjon av pyramidespiss
DFB00	Labyrintektomi
DFB10	Labyrintdestruksjon
DFD00	Fenestrasjon av buegang
DFD10	Rekonstruksjon av det ovale vindu
DFD20	Lukking av ruptur av det runde vindu
DFD30	Lukking av ruptur av det ovale vindu
DFE00	Innlegging av implantat i cochlea
DFW99	Annen operasjon på det indre øre
DGA00	Biopsi av tuba auditiva
DGB00	Obliterasjon av tuba auditiva
DGW00	Dilatasjon av tuba auditiva
DGW99	Annen operasjon på tuba auditiva
DHA00	Incisjon i nese
DHA10	Biopsi fra nesehule
DHB00	Eksisjon av utvendig neselesjon
DHB10	Eksisjon av lesjon i nesehule
DHB20	Polyppevulsjon i nese
DHB30	Antro-choanal polyppevulsjon
DHB40	Conchotomi
DHB50	Conchoplastikk
DHC00	Fjernelse av fremmedlegeme fra nesehule
DHD00	Innvendig sutur av nese
DHD10	Lukket reposisjon av nesefraktur
DHD20	Åpen reposisjon av nesefraktur
DHD30	Osteosyntese av nesefraktur
DHW99	Annen operasjon på nese
DJA00	Incisjon av neseseptum
DJA10	Biopsi av neseseptum
DJA20	Transseptal åpning av sphenoidalsinus
DJB10	Reseksjon av neseseptum
DJD00	Sutur av neseseptum
DJD10	Lukking av perforasjon i neseseptum
DJD20	Neseseptumplastikk
DJD30	Lukket reposisjon av neseseptumfraktur
DJD40	Åpen reposisjon av neseseptumfraktur
DJW99	Annen operasjon på neseseptum
DKW00	Koagulasjon av neseslimhinne
DKW10	Fremre nesetamponade
DKW20	Bakre nesetamponade
DKW30	Koagulasjon av arterie i nesehule
DKW40	Ligatur av arterie i nesehule
DKW99	Annet inngrep ved neseblødning
DLD00	Rekonstruksjon av nesebrusk
DLD10	Rekonstruksjon av brusk og ben i neseskjelettet
DLD20	Rhinoplastikk
DLD25	Korreksjon av choanalatresi
DLD30	Rekonstruksjon av nese
DLW99	Annen plastisk operasjon på nese
DMA00	Biopsi av kjevehule
DMA10	Eksplorasjon av kjevehule
DMB00	Kjevehuletrepanasjon
DMB10	Radikaloperasjon av kjevehule
DMB20	Funksjonell endoskopisk åpning av kjevehule
DMB30	Transmaxillær ekstirpasjon av lesjon i kjevehule
DMB40	Ekstirpasjon av lesjon i kjevehule gjennom lateral rhinotomi
DMC00	Fjernelse av fremmedlegeme fra kjevehule
DMW00	Intubasjon av kjevehule
DMW99	Annen operasjon på kjevehule
DNA00	Biopsi av ethmoidalsinus
DNB00	Ekstern ethmoidektomi
DNB10	Endonasal ethmoidektomi
DNB20	Endoskopisk ethmoidektomi
DNB30	Eksisjon av lesjon av ethmoidalsinus
DNB40	Sublabial rhinotomi
DNC00	Fjernelse av fremmedlegeme fra ethmoidalsinus
DNW99	Annen operasjon på ethmoidalsinus eller ethmoidalbenet
DPA00	Biopsi av frontalsinus
DPA10	Biopsi av sphenoidalsinus
DPA20	Trepanasjon av frontalsinus
DPA30	Sfenotomi
DPB00	Reseksjon av frontalsinus
DPB10	Reseksjon av sphenoidalsinus
DPB20	Obliterasjon av frontalsinus
DPW00	Innlegging av dren i frontalsinus
DPW10	Innlegging av dren i sphenoidalsinus
DPW99	Annen operasjon på frontal- eller sphenoidalsinus
DQA00	Laryngotomi
DQA10	Biopsi av larynx
DQA20	Eksplorativ laryngofissur
DQB00	Laryngofissur med ekstirpasjon av lesjon
DQB10	Endoskopisk ekstirpasjon av lesjon i larynx
DQB20	Reseksjon av larynx
DQB30	Laryngektomi
DQB40	Supraglottisk laryngektomi
DQB50	Vertikal hemilaryngektomi
DQB60	Arytenoidektomi
DQB70	Eksisjon av stemmebånd
DQB80	Operasjon for stemmebåndstriktur
DQC00	Fjernelse av fremmedlegeme fra larynx
DQD00	Lateral fiksasjon av stemmebånd
DQD10	Sutur av larynx
DQD20	Rekonstruksjon av larynx med fritt slimhinnetransplantat
DQD30	Rekonstruksjon av larynx med stilket transplantat
DQD40	Plastisk rekonstruksjon av larynx
DQD50	Endoskopisk innlegging av stent i larynx
DQE00	Innlegging av taleprotese etter laryngektomi
DQE10	Injeksjon av fremmed materiale i stemmebånd
DQE20	Implantasjon av fremmed materiale i stemmebånd
DQW99	Annen operasjon på larynx
DWA00	Reop for sårruptur i øre, nese, bihuler eller strupehode
DWB00	Reop for overfl inf etter inngr på øre/nese/bihuler/larynx
DWC00	Reop for dyp infeksjon i øre/nese/bihuler/strupehode
DWD00	Reop for overfl blødn etter inngr på øre/nese/bihuler/larynx
DWE00	Reop for dyp blødning i øre, nese, bihuler eller strupehode
DWF00	Reop insuff av anastomose el sutur øre nese bih el larynx
DWW99	Annen reop etter inngr på øre, nese, bihuler el strupehode
EAA00	Incisjon av leppe
EAA10	Ekstirpasjon av lesjon i leppe
EAA20	Reseksjon av overleppe
EAA30	Reseksjon av underleppe
EAA99	Annet reseksjonsinngrep på leppe
EAB00	Sutur av leppe
EAB10	Eksisjon og rekonstruksjon av leppebånd
EAB20	Plastisk rekonstruksjon av leppe
EAB30	Korreksjon av leppespalte
EAB99	Annet rekonstruksjonsinngrep på leppe
EAW99	Annen operasjon på leppe
EBA00	Tannekstraksjon
EBA10	Kirurgisk eksisjon av tann
EBA20	Hemiseksjon av tann
EBA30	Eksisjon av tannrot
EBA40	Eksisjon av tannrotspiss
EBA99	Annen ekstraksjon eller reseksjon av tann
EBB00	Reposisjon og fiksasjon av tannluksasjon
EBB05	Reposisjon og fiksasjon av tannfraktur
EBB10	Innsetting av tannimplantat
EBB15	Innsetting av tannimplantatsperre
EBB20	Tanntransplantasjon
EBB99	Annet rekonstruksjonsinngrep på tann
EBW99	Annen operasjon på tann
ECA00	Frileggelse av tann
ECA10	Incisjon i gingiva
ECA20	Biopsi av gingiva
ECA30	Eksisjon av lesjon i gingiva
ECA40	Kirurgisk behandling av periodontal abscess
ECA50	Periodontal operasjon
ECA60	Fjernelse av fremmedlegeme fra gingiva eller alveol
ECA99	Annen incisjon eller eksisjon av gingiva eller alveol
ECB00	Sutur av gingiva
ECB05	Mucogingival rekonstruksjon
ECB10	Rekonstruksjon av gingiva
ECB15	Plastisk lukking av alveonasal eller alveoantral fistel
ECB20	Processus alveolarisplastikk
ECB30	Processus alveolarisplastikk med hud- eller mucosatranspl
ECB40	Kirurgisk behandling av processus alveolarisfraktur
ECB50	Proc alveolarisplastikk m/bentranspl el alloplastisk matr
ECB99	Annet rekonstruksjonsinngrep på gingiva el proc alveolaris
ECW99	Annen operasjon på gingiva eller proc alveolaris
EDA00	Incisjon i underkjeve
EDA10	Biopsi av underkjeve
EDB00	Reseksjon av underkjeve
EDB10	Mandibulektomi
EDB20	Hemimandibulektomi
EDB30	Reseksjon av processus coronoideus
EDB99	Annet reseksjonsinngrep på underkjeve
EDC00	Mandibulær condylotomi
EDC05	Segmental osteotomi i underkjeve
EDC10	Sagittal osteotomi av ramus mandibulae
EDC15	Vertikal osteotomi av ramus mandibulae
EDC20	Uspesifisert osteotomi av mandibulae
EDC25	Corpusosteotomi i underkjeve
EDC30	Genioplastikk
EDC32	Lukket reposisjon & immobil frakt av collum el caput mandib
EDC34	Lukket reposisjon & immobil av fraktur av corpus mandibulae
EDC36	Åpen reposisjon & osteosynt frakt av collum el caput mandib
EDC38	Åpen reposisjon & osteosyntese fraktur av corpus mandibulae
EDC42	Rekonstruksjon av underkjeve med bruk av skinne
EDC45	Rekonstruksjon av underkjeve med bruk av bentransplantat
EDC99	Annet rekonstruksjonsinngrep på underkjeve
EDW99	Annen operasjon på underkjeve
EEA00	Incisjon i overkjeve
EEA10	Biopsi av overkjeve
EEB00	Reseksjon av overkjeve
EEB10	Maxillektomi
EEB99	Annet reseksjonsinngrep på overkjeve
EEC00	Segmental osteotomi av overkjeve
EEC05	Le Fort I osteotomi
EEC10	Le Fort II osteotomi
EEC15	Le Fort III osteotomi
EEC20	Lukket reposisjon og immobilisasjon av maxillefraktur
EEC25	Åpen reposisjon og immobilisasjon av maxillefraktur
EEC30	Reposisjon av zygomaticusfraktur
EEC35	Reposisjon og osteosyntese av zygomaticusfraktur
EEC40	Distraksjonsbehandling av overkjeve
EEC42	Rekonstruksjon av overkjeve med alloplastisk materiale
EEC45	Rekonstruksjon av overkjeve med bentransplantat
EEC99	Annet rekonstruksjonsinngrep på overkjeve
EEW99	Annen operasjon på overkjeve
EFA10	Eksisjon av lesjon i kjeve
EFA20	Decortikering av kjeve
EFA40	Fenestrering av kjevecyste
EFA50	Ekstirpasjon av kjevecyste
EFA99	Annet reseksjonsinngrep på kjeve
EFB10	Osteoplastikk på kjevene
EFB20	Reposisjon og/eller immobil av multiple ansiktsfrakturer
EFB30	Ekstern fiksasjon av ansiktsfraktur
EFB40	Fjernelse av internt el ekst fixasjonsmatr ansiktsskjelettet
EFB99	Annet rekonstruksjonsinngrep på kjevene
EFW99	Annen operasjon på kjevene
EGA00	Arthroskopi i kjeveledd
EGA10	Incisjon i kjeveledd
EGA20	Biopsi av kjeveledd
EGB00	Condylektomi i underkjeve
EGB10	Meniskektomi i kjeveledd
EGB20	Synovektomi i kjeveledd
EGB99	Annet reseksjonsinngrep på kjeveledd
EGC00	Åpen reposisjon av kjeveluksasjon
EGC10	Arthroplastikk av kjeveledd uten transplantat
EGC20	Arthroplastikk av kjeveledd med ben- el annet transplantat
EGC40	Implantasjon av kjeveleddprotese
EGC99	Annet rekonstruksjonsinngrep på kjeveledd
EGW99	Annen operasjon på kjeveledd
EHA00	Incisjon i ganen
EHA10	Biopsi av ganen
EHB00	Ekstirpasjon av lesjon i ganen
EHB99	Annet reseksjonsinngrep på ganen
EHC00	Sutur av ganen
EHC10	Plastisk lukking av palatonasal eller palatoantral fistel
EHC20	Korreksjon av arr i ganen
EHC30	Rekonstruksjon av ganen
EHC40	Korreksjon av submukøs ganespalte
EHC50	Korreksjon av ganespalte med farynxlapp
EHC60	Korreksjon av kombinert leppe- og ganespalte
EHC99	Annet rekonstruksjonsinngrep på ganen
EHW99	Annen operasjon på ganen
EJA00	Incisjon i tunge eller munngulv
EJA10	Biopsi av tunge eller munngulv
EJA20	Fjernelse av fremmedlegeme fra tunge eller munngulv
EJB00	Eksisjon av ranula
EJB10	Ekstirpasjon av lesjon i tungen
EJB20	Ekstirpasjon av lesjon i tungerot
EJB30	Ekstirpasjon av lesjon i munngulv
EJB40	Hemiglossektomi
EJB50	Total glossektomi
EJB60	Reseksjon av munngulv
EJB99	Annet reseksjonsinngrep på tunge og munngulv
EJC00	Sutur av tunge eller munngulv
EJC20	Operasjon på tungebånd
EJC30	Rekonstruksjon av tungen
EJC40	Glossopexi
EJC99	Annet rekonstruksjonsinngrep på tunge eller munngulv
EJW99	Annen operasjon på tunge eller munngulv
EKA00	Incisjon i kinn
EKA10	Biopsi av kinn
EKB00	Ekstirpasjon av lesjon i kinn
EKB99	Annet reseksjonsinngrep på kinn
EKC00	Sutur av kinn
EKC10	Fjernelse av fremmedlegeme fra kinn
EKC20	Plastisk operasjon på kinn
EKC30	Rekonstruksjon av kinn
EKC99	Annet rekonstruksjonsinngrep på kinn
EKW99	Annen operasjon på kinn
ELA00	Incisjon i spyttkjertel
ELA10	Sialodochotomi
ELA20	Sialolithotomi
ELA30	Biopsi av spyttkjertel
ELB00	Ekstirpasjon eller eksplorasjon av lesjon i spyttkjertel
ELB10	Eksisjon av liten spyttkjertel
ELB20	Eksisjon av glandula sublingualis
ELB30	Eksisjon av glandula submandibularis
ELB40	Reseksjon av glandula parotis
ELB50	Total parotidektomi
ELB99	Annet reseksjonsinngrep på spyttkjertel
ELC00	Sutur av spyttkjertel
ELC30	Ligatur av spyttkjertelgang
ELC40	Rekonstruksjon av spyttkjertelgang
ELC50	Transposisjon av spyttkjertelgang
ELC60	Okklusjon av spyttkjertelfistel
ELC99	Annet rekonstruksjonsinngrep på spyttkjertel
ELW99	Annen operasjon på spyttkjertel
EMA00	Incisjon i tonsille
EMA10	Biopsi av tonsille
EMA20	Incisjon i adenoid vev
EMA30	Biopsi av rhinofarynx
EMB00	Ekstirpasjon av lesjon i tonsille eller adenoid vev
EMB10	Tonsillelektomi
EMB20	Adenotonsillektomi
EMB30	Adenotomi
EMB99	Annet reseksjonsinngrep på tonsille eller adenoid vev
EMC00	Sutur av tonsille eller adenoid vev
EMC10	Fjernelse av fremmedlegeme fra tonsille
EMC99	Annet rekonstruksjonsinngrep på tonsille eller adenoid vev
EMW99	Annen operasjon på tonsille eller adenoid vev
ENA00	Intern incisjon i pharynx
ENA10	Biopsi av pharynx
ENA20	Faryngotomi
ENA30	Faryngostomi
ENB00	Ekstirpasjon eller eksplorasjon av lesjon i farynx
ENB10	Eksisjon av hypofarynxdivertikkel
ENB20	Faryngektomi
ENB30	Laryngofaryngektomi
ENB40	Eksisjon av branchialcyste eller -fistel
ENB50	Eksisjon av median halsfistel eller -cyste
ENB60	Eksisjon av processus styloideus
ENB99	Annet reseksjonsinngrep på farynx eller tilstøtende struktur
ENC00	Sutur av farynx eller tilstøtende struktur
ENC10	Fjernelse av fremmedlegeme fra farynx
ENC20	Cricofaryngeal myotomi
ENC30	Plastisk operasjon på farynx
ENC40	Uvulopalatofaryngoplastikk
ENC50	Lukking av farynxfistel
ENC60	Adheranseløsning i farynx
ENC70	Endoskopisk diverticulohypofaryngostomi
ENC99	Annet rekonstruksjonsinngr på farynx el tilstøtende struktur
ENW99	Annen operasjon på farynx eller tilstøtende struktur
EWA00	Reop for sårruptur etter inngr på kjeve, munn eller farynx
EWB00	Reop for overfl inf etter inngr på kjeve, munn eller farynx
EWC00	Reoperasjon for dyp infeksjon i kjeve, munn eller farynx
EWD00	Reop for overfl blødn etter inngr på kjeve, munn el farynx
EWE00	Reoperasjon for dyp blødning i kjeve, munn eller farynx
EWF00	Reop for insuff av anastomose el sutur kjeve munn el farynx
EWW99	Annen reop etter inngr på tenner, kjeve, munn eller farynx
FAA00	Sutur av intrathoracale vena cava
FAA10	Rekonstruksjon av intrathoracale vena cava med protese
FAA96	Annet rekonstruksjonsinngrep på vena cava
FAB00	Venotomi i intrathoracale vena cava
FAB10	Trombektomi i intrathoracale vena cava
FAB20	Fjernelse av fremmedlegeme fra intrathoracale vena cava
FAB22	Perkut translum fjernelse fremmedlegeme intratorak v cava
FAB30	Ekstirpasjon av lesjon i intrathoracale vena cava
FAB96	Annen incisjon eller ekstirpasjon i intrathoracale vena cava
FAC00	Reseksjon eller ligatur av intrathoracale vena cava
FAC10	Reseksjon & rekonstr av intratorak v cava m/venetransplantat
FAC20	Reseksjon & rekonstruksjon av intratorak v cava m/implantat
FAC22	Perkutan transluminal angioplastikk av intratorak v cava
FAC25	Perkut translum angioplastikk intratorak v cava m/stentinnl
FAC96	Annen reseksjon, rekonstr el ligatur av intratorak v cava
FAD00	Bypass-operasjon på intratorak v cava med venetransplantat
FAD10	Bypass-operasjon på intrathoracale vena cava med rørprotese
FAD96	Annen bypass-operasjon på intrathoracale vena cava
FAE00	Anastomose mellom vena cava superior og lungearterie
FAE10	Toveis anastomose mellom vena cava superior og lungearterie
FAE20	Total cavopulmonal forbindelse
FAE30	Total cavopulmonal forbindelse med fenestrasjon
FAE96	Annen anastomose mellom vena cava superior og lungearterie
FAW96	Annen operasjon på stor intrathoracal vene
FBA00	Sutur av lungearterie
FBA10	Sutur av lungearterie med protesemateriale
FBA96	Annet rekonstruksjonsinngrep på lungearterie
FBB00	Pulmonal arteriotomi
FBB10	Pulmonal embolektomi
FBB20	Trombendarterektomi i lungearterie
FBB50	Fjernelse av fremmedlegeme fra lungearterie
FBB52	Perkut translum fjernelse av fremmedlegeme fra lungearterie
FBB96	Annen incisjon i lungearterie
FBC00	Banding av lungearterie
FBC10	Banding av lungeart m annen samtidig op for medf hjertefeil
FBC96	Annen bandingoperasjon på lungearterie
FBD00	Fjernelse av bånd fra lungearterie
FBD10	Fjernelse av bånd og dilatasjon av lungearterie
FBD20	Fjernelse av bånd og rekonstruksjon av lungearterie
FBD96	Annen debandingoperasjon på lungearterie
FBE00	Utvidelse av lungearterie
FBE10	Utvidelse eller rekonstruksjon av lungearterie med patch
FBE20	Rekonstruksjon av lungearterie med rørprotese
FBE32	Perkutan transluminal angioplastikk av lungearterie
FBE35	Perkutan translum angioplastikk av lungearterie m/stentinnl
FBE42	Perkutan transluminal rekanalisering av lungearterie
FBE96	Annen utvidelse eller rekonstruksjon av lungearterie
FBF00	Reseksjon av lungearterie
FBF10	Reseksjon og rekonstruksjon av lungearterie med protese
FBF20	Reseksjon av lungearterie og rekonstruksjon av luftvei
FBF96	Annen reduksjon av lungearterie
FBG00	Anastomose mellom MAPCA og lungearterie
FBG10	Anastomose mellom MAPCA og protese eller pericardrør
FBG96	Annen unifokalisering ved MAPCA
FBH00	Transposisjon av pulmonal karslynge
FBH10	Transposisjon av pulmonal karslynge ved deling av luftvei
FBH96	Annet rekonstruksjonsinngrep ved pulmonal karslynge
FBJ00	Subclaviopulmonal anastomose
FBJ10	Subclaviopulmonal anastomose med interposisjon av protese
FBJ96	Annen subclaviopulmonal anastomose
FBK00	Lukking av subclaviopulmonal anastomose uten interposisjon
FBK10	Lukking av subclaviopulm anastomose m/rekonstr av a pulm
FBK96	Annen lukking av subclaviopulmonal anastomose
FBL00	Anastomose mellom aorta ascendens og truncus pulmonalis
FBL10	Aortopulmonal anastomose
FBL20	Distal aortopulmonal anastomose
FBL30	Aortopulmonal anastomose med protese
FBL40	Aortopulmonal anastomose ved univentrikulær tilstand
FBL96	Annen anastomose til lungearterie fra aorta
FBM00	Lukking av sentral aortopulmonal anastomose
FBM10	Lukking av aortopulmonal anastomose
FBM20	Lukking av distal aortopulmonal anastomose
FBM30	Lukking av aortopulmonal anastomose med protesemateriale
FBM96	Annen lukking av aortopulmonal anastomose
FBN00	Lukking av fistel fra lungearterie til atrium
FBN10	Lukking av arteriovenøs fistel fra lungearterie
FBN96	Lukking av annen fistel av lungearterie
FBW96	Annen operasjon på lungearterie eller gren
FCA00	Sutur av aorta ascendens
FCA10	Rekonstruksjon av aorta ascendens med deling og sutur
FCA20	Forsterkning av aorta ascendens med wrapping
FCA30	Reseksjon og sutur av aorta ascendens
FCA40	Rekonstruksjon av aorta ascendens med patch
FCA45	Perkutan innlegging av stent i aorta ascendens
FCA50	Reseksjon og rekonstr av aorta ascendens med rørprotese
FCA60	Resek aorta asc m/reimpl coronarart & sms protese m/mek klaf
FCA70	Resek aorta asc m/reimpl coronarart & biol protese m/klaff
FCA96	Annet rekonstruksjonsinngrep på aorta ascendens
FCB00	Sutur av aortabuen
FCB10	Rekonstruksjon av aortabuen med deling og sutur
FCB20	Partiell reseksjon og sutur av aortabuen
FCB30	Rekonstruksjon av aortabuen med patch
FCB35	Perkutan innlegging av stent i aortabuen
FCB40	Reseksjon og rekonstruksjon av aortabuen med rørprotese
FCB50	Reseksjon av aortabuen og reimplantasjon av grener
FCB96	Annet rekonstruksjonsinngrep på aortabuen
FCC00	Sutur av aorta descendens
FCC10	Rekonstruksjon av aorta descendens med deling og sutur
FCC30	Reseksjon og sutur av aorta descendens
FCC40	Rekonstruksjon av aorta descendens med patch
FCC45	Perkutan innlegging av stent i aorta descendens
FCC50	Reseksjon og rekonstr av aorta descendens med rørprotese
FCC60	Reseksjon av aorta descendens og reimplantasjon av grener
FCC70	Bypass til aorta descendens med rørprotese
FCC76	Bypass til abdominalaorta med rørprotese
FCC96	Annet rekonstruksjonsinngrep på aorta descendens
FCD00	Sutur av thoracoabdominalaorta
FCD10	Forsterkning av thoracoabdominalaorta med sutur
FCD30	Rekonstruksjon av thoracoabdominalaorta med patch
FCD35	Perkutan innlegging av stent i thoracoabdominalaorta
FCD40	Partiell reseksjon og sutur av thoracoabdominalaorta
FCD50	Reseksjon og rekonstr av thoracoabdominalaorta m/rørprotese
FCD60	Reseksjon av torakoabdominalaorta & reimpl av grener
FCD70	Bypass av thoracoabdominalaorta med rørprotese
FCD96	Annet rekonstruksjonsinngrep på thoracoabdominalaorta
FCE00	Lukking av rumpert sinus Valsalva-aneurisme
FCE10	Lukking av aortovenøs fistel
FCE20	Lukking av aortopulmonal fistel
FCE30	Lukking av aortobronkial fistel
FCE40	Lukking av aortoenterisk fistel
FCE96	Lukking av annen fistel fra aorta
FCW96	Annen operasjon på thoracal- eller thoracoabdominalaorta
FDA00	Aortoplastikk & aortopulm shunt hypoplastisk ve hjertesyndr
