AA0 27	Innlegging av intracerebral trykkmåler
CWA 00	Reoperasjon for sårruptur i øye eller øyeregion
CWB 00	Reoperasjon for overfladisk infeksjon i øye eller øyeregion
CWC 00	Reoperasjon for dyp infeksjon i øye eller øyeregion
CWD 00	Reoperasjon for overfladisk blødning i øye eller øyeregion
CWE 00	Reoperasjon for dyp blødning i øye eller øyeregion
CWF 00	Reoperasjon for insuffisiens av anastomose eller sutur i øye eller øyeregion
CWW 99	Annen reoperasjon på øye eller øyeregion
DAA 00	Incisjon av aurikkel
DAB 00	Eksisjon av lesjon av aurikkel
DAB 10	Reseksjon av aurikkel
DAB 20	Eksisjon av aurikkelfistel
DAD 00	Sutur av aurikkel
DAD 10	Rekonstruksjon av aurikkel
DAD 20	Beinforankring av aurikkelprotese
DAD 30	Aurikkelplastikk
DAW 99	Annet inngrep på aurikkel
DB0 00	Incisjon i øregang
DBB 00	Eksisjon av lesjon i øregang
DBD 00	Sutur av øregang
DBD 10	Rekonstruksjon av øregang
DBD 20	Øregangsplastikk
DBD 30	Korreksjon av øregangsatresi
DBW 99	Annen operasjon på øregang
DCA 00	Biopsi av trommehinne eller mellomøre
DCA 10	Paracentese av trommehinne
DCA 20	Innlegging av ventilasjonsrør gjennom trommehinne
DCA 30	Eksplorasjon av mellomøre
DCB 00	Eksisjon av lesjon i mellomøre
DCB 10	Adheranseløsning i mellomøre
DCB 20	Reseksjon av mellomøre
DCB 30	Eksisjon av mellomøre
DCC 00	Fjerning av fremmedlegeme fra mellomøre
DCD 00	Myringoplastikk
DCD 10	Tympanoplastikk
DCW 00	Fjerning av ventilasjonsrør fra trommehinne
DCW 99	Annen operasjon på trommehinne eller mellomøre
DDA 00	Stapedotomi
DDA 10	Eksplorasjon av ørebeinskjeden
DDB 00	Stapedektomi
DDC 00	Fjerning av ørebeinsprotese
DDD 00	Mobilisering av stapes
DDD 05	Rekonstruksjon av ørebeinskjeden
DDD 10	Interposisjon mellom malleus og stapes
DDD 20	Interposisjon mellom trommehinne og stapes
DDD 30	Fiksasjon av trommehinne til stapeshode
DDD 40	Fiksasjon av trommehinne til stapesplate
DDW 99	Annen operasjon på ørebeinskjeden
DEA 00	Biopsi av processus mastoideus eller tinningbeinet
DEA 10	Attico-antrotomi
DEB 00	Kortikal mastoidektomi
DEB 10	Attico-antro-mastoidektomi
DEB 20	Attico-antro-mastoidektomi og bakre tympanotomi
DEB 25	Attico-antro-mastoidektomi og tympanoplastikk
DEB 30	Radikal mastoidektomi
DEB 40	Mastoidreseksjon
DEB 50	Reseksjon av tinningbein
DEB 60	Eksisjon av tinningbein
DED 00	Obliterasjon av mastoid reseksjonshule
DEE 00	Beinforankring av høreapparat
DEW 99	Annen operasjon på processus mastoideus eller tinningbeinet
DFA 00	Saccotomi
DFA 10	Translabyrintær eksplorasjon av pyramidespiss
DFB 00	Labyrintektomi
DFB 10	Labyrintdestruksjon
DFD 00	Fenestrasjon av buegang
DFD 10	Rekonstruksjon av det ovale vindu
DFD 20	Lukking av ruptur av det runde vindu
DFD 30	Lukking av ruptur av det ovale vindu
DFE 00	Innlegging av implantat i cochlea 
DFW 99	Annen operasjon på det indre øre
DGA 00	Biopsi av tuba auditiva
DGB 00	Obliterasjon av tuba auditiva
DGW 00	Dilatasjon av tuba auditiva
DGW 99	Annen operasjon på tuba auditiva
DHA 00	Incisjon i nese
DHA 10	Biopsi fra nesehule
DHB 00	Eksisjon av utvendig neselesjon
DHB 10	Eksisjon av lesjon i nesehule
DHB 20	Polyppevulsjon i nese
DHB 30	Antrokoanal polyppevulsjon
DHB 40	Conchotomi
DHB 50	Conchoplastikk
DHC 00	Fjerning av fremmedlegeme fra nesehule
DHD 00	Innvendig sutur av nese
DHD 10	Lukket reposisjon av nesefraktur
DHD 20	Åpen reposisjon av nesefraktur
DHD 30	Osteosyntese av nesefraktur
DHW 99	Annen operasjon på nese
DJA 00	Incisjon av neseseptum
DJA 10	Biopsi av neseseptum
DJA 20	Transseptal åpning av sfenoidalsinus
DJB 10	Reseksjon av neseseptum
DJD 00	Sutur av neseseptum
DJD 10	Lukking av perforasjon i neseseptum
DJD 20	Neseseptumplastikk
DJD 30	Lukket reposisjon av neseseptumfraktur
DJD 40	Åpen reposisjon av neseseptumfraktur
DJW 99	Annen operasjon på neseseptum
DKW 00	Koagulasjon av neseslimhinne
DKW 10	Fremre nesetamponade
DKW 20	Bakre nesetamponade
DKW 30	Koagulasjon av arterie i nesehule
DKW 40	Ligatur av arterie i nesehule
DKW 99	Annet inngrep ved neseblødning
DLD 00	Rekonstruksjon av nesebrusk
DLD 10	Rekonstruksjon av brusk og bein i neseskjelettet
DLD 20	Rhinoplastikk
DLD 25	Korreksjon av koanalatresi
DLD 30	Rekonstruksjon av nese
DLW 99	Annen plastisk operasjon på nese
DMA 00	Biopsi av maksillarsinus
DMA 10	Eksplorasjon av maksillarsinus
DMB 00	Trepanasjon av maksillarsinus
DMB 10	Radikaloperasjon av maksillarsinus
DMB 20	Funksjonell endoskopisk åpning av maksillarsinus
DMB 30	Transmaksillær ekstirpasjon av lesjon i maksillarsinus
DMB 40	Ekstirpasjon av lesjon i maksillarsinus gjennom lateral rhinotomi
DMC 00	Fjerning av fremmedlegeme fra maksillarsinus
DMW 00	Intubasjon av maksillarsinus
DMW 99	Annen operasjon på maksillarsinus
DNA 00	Biopsi av ethmoidalsinus
DNB 00	Ekstern ethmoidektomi
DNB 10	Endonasal ethmoidektomi
DNB 20	Endoskopisk ethmoidektomi
DNB 30	Eksisjon av lesjon av ethmoidalsinus
DNB 40	Sublabial rhinotomi
DNC 00	Fjerning av fremmedlegeme fra ethmoidalsinus
DNW 99	Annen operasjon på ethmoidalsinus eller ethmoidalbeinet
DPA 00	Biopsi av frontalsinus
DPA 10	Biopsi av sfenoidalsinus
DPA 20	Trepanasjon av frontalsinus
DPA 30	Sfenotomi
DPB 00	Reseksjon av frontalsinus
DPB 10	Reseksjon av sfenoidalsinus
DPB 20	Obliterasjon av frontalsinus
DPW 00	Innlegging av dren i frontalsinus
DPW 10	Innlegging av dren i sfenoidalsinus
DPW 99	Annen operasjon på frontal- eller sfenoidalsinus
DQA 00	Laryngotomi
DQA 10	Biopsi av larynx
DQA 20	Eksplorativ laryngofissur
DQB 00	Laryngofissur med ekstirpasjon av lesjon
DQB 10	Endoskopisk ekstirpasjon av lesjon i larynx
DQB 20	Reseksjon av larynx
DQB 30	Laryngektomi
DQB 40	Supraglottisk laryngektomi
DQB 50	Vertikal hemilaryngektomi
DQB 60	Arytenoidektomi
DQB 70	Eksisjon av stemmebånd
DQB 80	Operasjon for stemmebåndstriktur
DQC 00	Fjerning av fremmedlegeme fra larynx
DQD 00	Lateral fiksasjon av stemmebånd
DQD 10	Sutur av larynx
DQD 20	Rekonstruksjon av larynx med fritt slimhinnetransplantat
DQD 30	Rekonstruksjon av larynx med stilket transplantat
DQD 40	Plastisk rekonstruksjon av larynx
DQD 50	Endoskopisk innlegging av stent i larynx
DQE 00	Innlegging av taleprotese etter laryngektomi
DQE 10	Injeksjon av fremmed materiale i stemmebånd
DQE 20	Implantasjon av fremmed materiale i stemmebånd
DQW 99	Annen operasjon på larynx
DWA 00	Reoperasjon for sårruptur i øre, nese, bihuler eller strupehode
DWB 00	Reoperasjon for overfladisk infeksjon etter inngrep på øre, nese, bihuler eller strupehode
DWC 00	Reoperasjon for dyp infeksjon i øre, nese, bihuler eller strupehode
DWD 00	Reoperasjon for overfladisk blødning etter inngrep på øre, nese, bihuler eller strupehode
DWE 00	Reoperasjon for dyp blødning i øre, nese, bihuler eller strupehode
DWF 00	Reoperasjon for insuffisiens av anastomose eller sutur i øre, nese, bihuler eller strupehode
DWW 99	Annen reoperasjon etter inngrep på øre, nese, bihuler eller strupehode
EAA 00	Incisjon av leppe
EAA 10	Ekstirpasjon av lesjon i leppe
EAA 20	Reseksjon av overleppe
EAA 30	Reseksjon av underleppe
EAA 99	Annet reseksjonsinngrep på leppe
EAB 00	Sutur av leppe
EAB 10	Eksisjon og rekonstruksjon av leppebånd
EAB 20	Plastisk rekonstruksjon av leppe
EAB 30	Korreksjon av leppespalte
EAB 99	Annet rekonstruksjonsinngrep på leppe
EAW 99	Annen operasjon på leppe
EBA 00	Tannekstraksjon
EBA 10	Kirurgisk eksisjon av tann
EBA 20	Hemiseksjon av tann
EBA 30	Eksisjon av tannrot
EBA 40	Eksisjon av tannrotspiss
EBA 99	Annen ekstraksjon eller reseksjon av tann
EBB 00	Reposisjon og fiksasjon av tannluksasjon
EBB 05	Reposisjon og fiksasjon av tannfraktur
EBB 10	Innsetting av tannimplantat
EBB 15	Innsetting av tannimplantatsperre
EBB 20	Tanntransplantasjon
EBB 99	Annet rekonstruksjonsinngrep på tann
EBW 99	Annen operasjon på tann
ECA 00	Frilegging av tann
ECA 10	Incisjon i gingiva
ECA 20	Biopsi av gingiva
ECA 30	Eksisjon av lesjon i gingiva
ECA 40	Kirurgisk behandling av periodontal abscess
ECA 50	Periodontal operasjon
ECA 60	Fjerning av fremmedlegeme fra gingiva eller alveol
ECA 99	Annen incisjon eller eksisjon av gingiva eller alveol
ECB 00	Sutur av gingiva
ECB 05	Mukogingival rekonstruksjon
ECB 10	Rekonstruksjon av gingiva
ECB 15	Plastisk lukking av alveonasal eller alveoantral fistel
ECB 20	Processus alveolarisplastikk
ECB 30	Processus alveolarisplastikk med hud- eller mukosatransplantat
ECB 40	Kirurgisk behandling av processus alveolarisfraktur
ECB 50	Processus alveolarisplastikk med beintransplantat eller alloplastisk materiale
ECB 99	Annet rekonstruksjonsinngrep på gingiva eller processus alveolaris
ECW 99	Annen operasjon på gingiva eller processus alveolaris
EDA 00	Incisjon i underkjeve
EDA 10	Biopsi av underkjeve
EDB 00	Reseksjon av underkjeve
EDB 10	Mandibulektomi
EDB 20	Hemimandibulektomi
EDB 30	Reseksjon av processus coronoideus
EDB 99	Annet reseksjonsinngrep på underkjeve
EDC 00	Mandibulær kondylotomi
EDC 05	Segmental osteotomi i underkjeve
EDC 10	Sagittal osteotomi av ramus mandibula
EDC 15	Vertikal osteotomi av ramus mandibula
EDC 20	Uspesifisert osteotomi av underkjeve
EDC 25	Korpusosteotomi i underkjeve
EDC 30	Genioplastikk
EDC 32	Lukket reposisjon og immobilisering av fraktur av collum eller caput mandibulae
EDC 34	Lukket reposisjon og immobilisering av fraktur av corpus mandibulae
EDC 36	Åpen reposisjon og osteosyntese av fraktur av collum eller caput mandibulae
EDC 38	Åpen reposisjon og osteosyntese av fraktur av corpus mandibulae
EDC 42	Rekonstruksjon av underkjeve med skinne
EDC 45	Rekonstruksjon av underkjeve med beintransplantat
EDC 99	Annet rekonstruksjonsinngrep på underkjeve
EDW 99	Annen operasjon på underkjeve
EEA 00	Incisjon i overkjeve
EEA 10	Biopsi av overkjeve
EEB 00	Reseksjon av overkjeve
EEB 10	Maksillektomi
EEB 99	Annet reseksjonsinngrep på overkjeve
EEC 00	Segmental osteotomi av overkjeve
EEC 05	Le Fort I osteotomi
EEC 10	Le Fort II osteotomi
EEC 15	Le Fort III osteotomi
EEC 20	Lukket reposisjon og immobilisering av maksillefraktur
EEC 25	Åpen reposisjon og immobilisering av maksillefraktur
EEC 30	Reposisjon av zygomaticusfraktur
EEC 35	Reposisjon og osteosyntese av zygomaticusfraktur
EEC 40	Distraksjonsbehandling av overkjeve
EEC 42	Rekonstruksjon av overkjeve med alloplastisk materiale
EEC 45	Rekonstruksjon av overkjeve med beintransplantat
EEC 99	Annet rekonstruksjonsinngrep på overkjeve
EEW 99	Annen operasjon på overkjeve
EFA 10	Eksisjon av lesjon i kjeve
EFA 20	Dekortikasjon av kjeve
EFA 40	Fenestrasjon av kjevecyste
EFA 50	Ekstirpasjon av kjevecyste
EFA 99	Annet reseksjonsinngrep på kjeve
EFB 10	Osteoplastikk på kjevene
EFB 20	Reposisjon og/eller immobilisering av multiple ansiktsfrakturer
EFB 30	Ekstern fiksasjon av ansiktsfraktur
EFB 40	Fjerning av internt eller eksternt fiksasjonsmateriale fra ansiktsskjelettet
EFB 99	Annet rekonstruksjonsinngrep på kjevene
EFW 99	Annen operasjon på kjevene
EGA 00	Artroskopi i kjeveledd
EGA 10	Incisjon i kjeveledd
EGA 20	Biopsi av kjeveledd
EGB 00	Kondylektomi i underkjeve
EGB 10	Meniskektomi i kjeveledd
EGB 20	Synovektomi i kjeveledd
EGB 99	Annet reseksjonsinngrep på kjeveledd
EGC 00	Åpen reposisjon av kjeveluksasjon
EGC 10	Artroplastikk av kjeveledd uten transplantat
EGC 20	Artroplastikk av kjeveledd med bein- eller annet transplantat
EGC 40	Implantasjon av kjeveleddprotese
EGC 99	Annet rekonstruksjonsinngrep på kjeveledd
EGW 99	Annen operasjon på kjeveledd
EHA 00	Incisjon i ganen
EHA 10	Biopsi av ganen
EHB 00	Ekstirpasjon av lesjon i ganen
EHB 99	Annet reseksjonsinngrep på ganen
EHC 00	Sutur av ganen
EHC 10	Plastisk lukking av palatonasal eller palatoantral fistel
EHC 20	Korreksjon av arr i ganen
EHC 30	Rekonstruksjon av ganen
EHC 40	Korreksjon av submukøs ganespalte
EHC 50	Korreksjon av ganespalte med pharynxlapp
EHC 60	Korreksjon av kombinert leppe- og ganespalte
EHC 99	Annet rekonstruksjonsinngrep på ganen
EHW 99	Annen operasjon på ganen
EJA 00	Incisjon i tunge eller munngulv
EJA 10	Biopsi av tunge eller munngulv
EJA 20	Fjerning av fremmedlegeme fra tunge eller munngulv
EJB 00	Eksisjon av ranula
EJB 10	Ekstirpasjon av lesjon i tungen
EJB 20	Ekstirpasjon av lesjon i tungerot
EJB 30	Ekstirpasjon av lesjon i munngulv
EJB 40	Hemiglossektomi
EJB 50	Total glossektomi
EJB 60	Reseksjon av munngulv
EJB 99	Annet reseksjonsinngrep på tunge og munngulv
EJC 00	Sutur av tunge eller munngulv 
EJC 20	Operasjon på tungebånd
EJC 30	Rekonstruksjon av tungen
EJC 40	Glossopeksi
EJC 99	Annet rekonstruksjonsinngrep på tunge eller munngulv
EJW 99	Annen operasjon på tunge eller munngulv
EKA 00	Incisjon i kinn
EKA 10	Biopsi av kinn
EKB 00	Ekstirpasjon av lesjon i kinn
EKB 99	Annet reseksjonsinngrep på kinn
EKC 00	Sutur av kinn
EKC 10	Fjerning av fremmedlegeme fra kinn
EKC 20	Plastisk operasjon på kinn
EKC 30	Rekonstruksjon av kinn
EKC 99	Annet rekonstruksjonsinngrep på kinn
EKW 99	Annen operasjon på kinn
ELA 00	Incisjon i spyttkjertel
ELA 10	Sialodokotomi
ELA 20	Sialolitotomi
ELA 30	Biopsi av spyttkjertel
ELB 00	Ekstirpasjon eller eksplorasjon av lesjon i spyttkjertel
ELB 10	Eksisjon av liten spyttkjertel
ELB 20	Eksisjon av sublingvalkjertel
ELB 30	Eksisjon av submandibulærkjertel
ELB 40	Parotisreseksjon
ELB 50	Total parotidektomi
ELB 99	Annet reseksjonsinngrep på spyttkjertel
ELC 00	Sutur av spyttkjertel
ELC 30	Ligatur av spyttkjertelgang
ELC 40	Rekonstruksjon av spyttkjertelgang
ELC 50	Transposisjon av spyttkjertelgang
ELC 60	Okklusjon av spyttkjertelfistel
ELC 99	Annet rekonstruksjonsinngrep på spyttkjertel
ELW 99	Annen operasjon på spyttkjertel
EMA 00	Incisjon i tonsille
EMA 10	Biopsi av tonsille
EMA 20	Incisjon i adenoid vev
EMA 30	Biopsi av rhinopharynx
EMB 00	Ekstirpasjon av lesjon i tonsille eller adenoid vev
EMB 10	Tonsillelektomi
EMB 20	Adenotonsillektomi
EMB 30	Adenotomi
EMB 99	Annet reseksjonsinngrep på tonsille eller adenoid vev
EMC 00	Sutur av tonsille eller adenoid vev
EMC 10	Fjerning av fremmedlegeme fra tonsille
EMC 99	Annet rekonstruksjonsinngrep på tonsille eller adenoid vev
EMW 99	Annen operasjon på tonsille eller adenoid vev
ENA 00	Intern incisjon i pharynx
ENA 10	Biopsi av pharynx
ENA 20	Faryngotomi
ENA 30	Faryngostomi
ENB 00	Ekstirpasjon eller eksplorasjon av lesjon i pharynx
ENB 10	Eksisjon av hypopharynxdivertikkel
ENB 20	Faryngektomi
ENB 30	Laryngofaryngektomi
ENB 40	Eksisjon av brankialcyste eller -fistel
ENB 50	Eksisjon av median halsfistel eller -cyste
ENB 60	Eksisjon av processus styloideus
ENB 99	Annet reseksjonsinngrep på pharynx eller tilstøtende struktur
ENC 00	Sutur av pharynx eller tilstøtende struktur
ENC 10	Fjerning av fremmedlegeme fra pharynx
ENC 20	Kricofaryngeal myotomi
ENC 30	Plastisk operasjon på pharynx
ENC 40	Uvulopalatofaryngoplastikk
ENC 50	Lukking av pharynxfistel
ENC 60	Adheranseløsning i pharynx
ENC 70	Endoskopisk divertikulohypofaryngostomi
ENC 99	Annet rekonstruksjonsinngrep på pharynx eller tilstøtende struktur
ENW 99	Annen operasjon på pharynx eller tilstøtende struktur
EWA 00	Reoperasjon for sårruptur etter inngrep på kjeve, munn eller pharynx
EWB 00	Reoperasjon for overfladisk infeksjon etter inngrep på kjeve, munn eller pharynx
EWC 00	Reoperasjon for dyp infeksjon i kjeve, munn eller pharynx
EWD 00	Reoperasjon for overfladisk blødning etter inngrep på kjeve, munn eller pharynx
EWE 00	Reoperasjon for dyp blødning i kjeve, munn eller pharynx
EWF 00	Reoperasjon for insuffisiens av anastomose eller sutur i kjeve, munn eller pharynx
EWW 99	Annen reoperasjon etter inngrep på tenner, kjeve, munn eller pharynx
FAA 00	Sutur av intratorakale vena cava
FAA 10	Rekonstruksjon av intratorakale vena cava med protese
FAA 96	Annet rekonstruksjonsinngrep på vena cava
FAB 00	Venotomi i intratorakale vena cava
FAB 10	Trombektomi i intratorakale vena cava
FAB 20	Fjerning av fremmedlegeme fra intratorakale vena cava
FAB 22	Perkutan transluminal fjerning av fremmedlegeme fra intratorakale vena cava
FAB 30	Ekstirpasjon av lesjon i intratorakale vena cava
FAB 96	Annen incisjon eller ekstirpasjon i intratorakale vena cava
FAC 00	Reseksjon eller ligatur av intratorakale vena cava
FAC 10	Reseksjon og rekonstruksjon av intratorakale vena cava med venetransplantat
FAC 20	Reseksjon og rekonstruksjon av intratorakale vena cava med implantat
FAC 22	Perkutan transluminal angioplastikk av intratorakale vena cava
FAC 25	Perkutan transluminal angioplastikk av intratorakale vena cava med innlegging av stent
FAC 96	Annen reseksjon, rekonstruksjon eller ligatur av intratorakale vena cava
FAD 00	Bypassoperasjon på intratorakale vena cava med venetransplantat
FAD 10	Bypassoperasjon på intratorakale vena cava med rørprotese
FAD 96	Annen bypassoperasjon på intratorakale vena cava
FAE 00	Anastomose mellom vena cava superior og lungearterie
FAE 10	Toveis anastomose mellom vena cava superior og lungearterie
FAE 20	Total cavopulmonal forbindelse
FAE 30	Total cavopulmonal forbindelse med fenestrasjon
FAE 96	Annen anastomose mellom vena cava superior og lungearterie
FAW 96	Annen operasjon på stor intratorakal vene
FBA 00	Sutur av lungearterie
FBA 10	Sutur av lungearterie med protesemateriale
FBA 96	Annet rekonstruksjonsinngrep på lungearterie
FBB 00	Pulmonal arteriotomi
FBB 10	Pulmonal embolektomi
FBB 20	Trombendarterektomi i lungearterie
FBB 50	Fjerning av fremmedlegeme fra lungearterie
FBB 52	Perkutan transluminal fjerning av fremmedlegeme fra lungearterie
FBB 96	Annen incisjon i lungearterie
FBC 00	Banding av lungearterie
FBC 10	Banding av lungearterie med annet samtidig inngrep for medfødt hjertefeil
FBC 96	Annen bandingoperasjon på lungearterie
FBD 00	Fjerning av bånd fra lungearterie
FBD 10	Fjerning av bånd og dilatasjon av lungearterie
FBD 20	Fjerning av bånd og rekonstruksjon av lungearterie
FBD 96	Annen debandingoperasjon på lungearterie
FBE 00	Utvidelse av lungearterie
FBE 10	Utvidelse eller rekonstruksjon av lungearterie med patch
FBE 20	Rekonstruksjon av lungearterie med rørprotese
FBE 32	Perkutan transluminal angioplastikk av lungearterie
FBE 35	Perkutan transluminal angioplastikk av lungearterie med innlegging av stent
FBE 42	Perkutan transluminal rekanalisering av lungearterie
FBE 96	Annen utvidelse eller rekonstruksjon av lungearterie
FBF 00	Reseksjon av lungearterie
FBF 10	Reseksjon og rekonstruksjon av lungearterie med protese
FBF 20	Reseksjon av lungearterie og rekonstruksjon av luftvei
FBF 96	Annen reduksjon av lungearterie
FBG 00	Anastomose mellom MAPCA og lungearterie
FBG 10	Anastomose mellom MAPCA og protese eller perikardrør
FBG 96	Annen unifokalisering ved MAPCA
FBH 00	Transposisjon av pulmonal karslynge
FBH 10	Transposisjon av pulmonal karslynge ved deling av luftvei
FBH 96	Annet rekonstruksjonsinngrep ved pulmonal karslynge
FBJ 00	Subklaviopulmonal anastomose
FBJ 10	Subklaviopulmonal anastomose med interposisjon av protese
FBJ 96	Annen subklaviopulmonal anastomose
FBK 00	Lukking av subklaviopulmonal anastomose uten interposisjon
FBK 10	Lukking av subklaviopulmonal anastomose med rekonstruksjon av a. pulmonalis
FBK 96	Annen lukking av subklaviopulmonal anastomose
FBL 00	Anastomose mellom aorta ascendens og truncus pulmonalis
FBL 10	Aortopulmonal anastomose
FBL 20	Distal aortopulmonal anastomose
FBL 30	Aortopulmonal anastomose med protese
FBL 40	Aortopulmonal anastomose ved univentrikulær tilstand
FBL 96	Annen anastomose til lungearterie fra aorta
FBM 00	Lukking av sentral aortopulmonal anastomose
FBM 10	Lukking av aortopulmonal anastomose
FBM 20	Lukking av distal aortopulmonal anastomose
FBM 30	Lukking av aortopulmonal anastomose med protesemateriale
FBM 96	Annen lukking av aortopulmonal anastomose
FBN 00	Lukking av fistel fra lungearterie til atrium 
FBN 10	Lukking av arteriovenøs fistel fra lungearterie
FBN 96	Lukking av annen fistel av lungearterie
FBW 96	Annen operasjon på lungearterie eller grein
FCA 00	Sutur av aorta ascendens
