AAA00	Eksplorativ kraniotomi
CKC50	Transskleral laserterapi av retina
CKC60	Lokal innbukning av sclera med plombe
CKC65	Fjerning av plombe fra sclera
CKC70	Sirkulær innbukning av sclera
CKC75	Fjerning av cerclage fra sclera
CKC99	Annen ekstraokulær operasjon på corpus vitreum eller retina
CKD00	Dekompressiv punktur av corpus vitreum
CKD05	Injeksjon av medikament i corpus vitreum
CKD10	Insufflasjon av corpus vitreum
CKD15	Injeksjon av substitutt i corpus vitreum
CKD20	Fjerning av corpus vitreum-substitutt
CKD25	Ekstern drenasje av subretinal væske
CKD30	Intern drenasje av subretinal væske
CKD40	Endofotokoagulasjon av retina
CKD45	Endokryokirurgi av retina
CKD50	Endodiatermi av retina
CKD60	Fremre vitrektomi
CKD65	Pars plana- eller pars plicata-vitrektomi
CKD70	Eksisjon av preretinal eller epiretinal membran
CKD75	Retinotomi
CKD80	Retinektomi
CKD85	Fjerning av subretinal membran eller streng
CKD90	Fjerning av subretinal blødning
CKD99	Annen intraokulær operasjon på corpus vitreum eller retina
CKE00	Ekstirpasjon av lesjon i choroidea
CKE10	Transpupillær fotokoagulasjon av lesjon i choroidea
CKE15	Endofotokoagulasjon av lesjon i choroidea
CKE20	Kryokirurgi av lesjon i choroidea
CKE30	Ekstirpasjon av lesjon i retina
CKE40	Transpupillær fotokoagulasjon av lesjon i retina
CKE45	Endofotokoagulasjon av lesjon i retina
CKE50	Kryokirurgi av lesjon i retina
CKE60	Brakyterapi av choroidea og retina
CKE65	Fjerning av brakyterapeutisk plate fra øye
CKE99	Annen operasjon for lesjon i choroidea eller retina
CKW99	Annen operasjon på choroidea, corpus vitreum eller retina
CWA00	Reoperasjon for sårruptur i øye eller øyeregion
CWB00	Reoperasjon for overfladisk infeksjon i øye eller øyeregion
CWC00	Reoperasjon for dyp infeksjon i øye eller øyeregion
CWD00	Reoperasjon for overfladisk blødning i øye eller øyeregion
CWE00	Reoperasjon for dyp blødning i øye eller øyeregion
CWF00	Reoperasjon for insuffisiens av anastomose eller sutur i øye eller øyeregion
CWW99	Annen reoperasjon på øye eller øyeregion
DAA00	Incisjon av aurikkel
DAB00	Eksisjon av lesjon av aurikkel
DAB10	Reseksjon av aurikkel
DAB20	Eksisjon av aurikkelfistel
DAC00	Fjerning av fremmedlegeme fra aurikkel
DAD00	Sutur av aurikkel
DAD10	Rekonstruksjon av aurikkel
DAD20	Beinforankring av aurikkelprotese
DAD30	Aurikkelplastikk
DAW99	Annet inngrep på aurikkel
DBA00	Incisjon i øregang
DBB00	Eksisjon av lesjon i øregang
DBD00	Sutur av øregang
DBD10	Rekonstruksjon av øregang
DBD20	Øregangsplastikk
DBD30	Korreksjon av øregangsatresi
DBW99	Annen operasjon på øregang
DCA00	Biopsi av trommehinne eller mellomøre
DCA10	Paracentese av trommehinne
DCA20	Innlegging av ventilasjonsrør gjennom trommehinne
DCA30	Eksplorasjon av mellomøre
DCB00	Eksisjon av lesjon i mellomøre
DCB10	Adheranseløsning i mellomøre
DCB20	Reseksjon av mellomøre
DCB30	Eksisjon av mellomøre
DCC00	Fjerning av fremmedlegeme fra mellomøre
DCD00	Myringoplastikk
DCD10	Tympanoplastikk
DCW00	Fjerning av ventilasjonsrør fra trommehinne
DCW99	Annen operasjon på trommehinne eller mellomøre
DDA00	Stapedotomi
DDA10	Eksplorasjon av ørebeinskjeden
DDB00	Stapedektomi
DDC00	Fjerning av ørebeinsprotese
DDD00	Mobilisering av stapes
DDD05	Rekonstruksjon av ørebeinskjeden
DDD10	Interposisjon mellom malleus og stapes
DDD20	Interposisjon mellom trommehinne og stapes
DDD30	Fiksasjon av trommehinne til stapeshode
DDD40	Fiksasjon av trommehinne til stapesplate
DDW99	Annen operasjon på ørebeinskjeden
DEA00	Biopsi av processus mastoideus eller tinningbeinet
DEA10	Attico-antrotomi
DEB00	Kortikal mastoidektomi
DEB10	Attico-antro-mastoidektomi
DEB20	Attico-antro-mastoidektomi og bakre tympanotomi
DEB25	Attico-antro-mastoidektomi og tympanoplastikk
DEB30	Radikal mastoidektomi
DEB40	Mastoidreseksjon
DEB50	Reseksjon av tinningbein
DEB60	Eksisjon av tinningbein
DEC00	Fjerning av fremmedlegeme fra processus mastoideus eller tinningbeinet
DED00	Obliterasjon av mastoid reseksjonshule
DEE00	Beinforankring av høreapparat
DEW99	Annen operasjon på processus mastoideus eller tinningbeinet
DFA00	Saccotomi
DFA10	Translabyrintær eksplorasjon av pyramidespiss
DFB00	Labyrintektomi
DFB10	Labyrintdestruksjon
DFC00	Fjernelse av fremmedlegeme fra det indre øre
DFD00	Fenestrasjon av buegang
DFD10	Rekonstruksjon av det ovale vindu
DFD20	Lukking av ruptur av det runde vindu
DFD30	Lukking av ruptur av det ovale vindu
DFE00	Innlegging av implantat i cochlea
DFW99	Annen operasjon på det indre øre
DGA00	Biopsi av tuba auditiva
DGB00	Obliterasjon av tuba auditiva
DGW00	Dilatasjon av tuba auditiva
DGW99	Annen operasjon på tuba auditiva
DHA00	Incisjon i nese
DHA10	Biopsi fra nesehule
DHB00	Eksisjon av utvendig neselesjon
DHB10	Eksisjon av lesjon i nesehule
DHB20	Polyppevulsjon i nese
DHB30	Antrokoanal polyppevulsjon
DHB40	Conchotomi
DHB50	Conchoplastikk
DHC05	Fjerning av penetrerende fremmedlegeme fra nese
DHC10	Fjerning av implantat fra neseskjelett
DHD00	Innvendig sutur av nese
DHD10	Lukket reposisjon av nesefraktur
DHD20	Åpen reposisjon av nesefraktur
DHD30	Osteosyntese av nesefraktur
DHW99	Annen operasjon på nese
DJA00	Incisjon av neseseptum
DJA10	Biopsi av neseseptum
DJA20	Transseptal åpning av sfenoidalsinus
DJB10	Reseksjon av neseseptum
DJD00	Sutur av neseseptum
DJD10	Lukking av perforasjon i neseseptum
DJD20	Neseseptumplastikk
DJD30	Lukket reposisjon av neseseptumfraktur
DJD40	Åpen reposisjon av neseseptumfraktur
DJW99	Annen operasjon på neseseptum
DKW00	Koagulasjon av neseslimhinne
DKW10	Fremre nesetamponade
DKW20	Bakre nesetamponade
DKW30	Koagulasjon av arterie i nesehule
DKW40	Ligatur av arterie i nesehule
DKW99	Annet inngrep ved neseblødning
DLD00	Rekonstruksjon av nesebrusk
DLD10	Rekonstruksjon av brusk og bein i neseskjelettet
DLD20	Rhinoplastikk
DLD25	Korreksjon av koanalatresi
DLD30	Rekonstruksjon av nese
DLW99	Annen plastisk operasjon på nese
DMA00	Biopsi av maksillarsinus
DMA10	Eksplorasjon av maksillarsinus
DMB00	Trepanasjon av maksillarsinus
DMB10	Radikaloperasjon av maksillarsinus
DMB20	Funksjonell endoskopisk åpning av maksillarsinus
DMB30	Transmaksillær ekstirpasjon av lesjon i maksillarsinus
DMB40	Ekstirpasjon av lesjon i maksillarsinus gjennom lateral rhinotomi
DMC00	Fjerning av fremmedlegeme fra maksillarsinus
DMW00	Intubasjon av maksillarsinus
DMW99	Annen operasjon på maksillarsinus
DNA00	Biopsi av ethmoidalsinus
DNB00	Ekstern ethmoidektomi
DNB10	Endonasal ethmoidektomi
DNB20	Endoskopisk ethmoidektomi
DNB30	Eksisjon av lesjon av ethmoidalsinus
DNB40	Sublabial rhinotomi
DNC00	Fjerning av fremmedlegeme fra ethmoidalsinus
DNW99	Annen operasjon på ethmoidalsinus eller ethmoidalbeinet
DPA00	Biopsi av frontalsinus
DPA10	Biopsi av sfenoidalsinus
DPA20	Trepanasjon av frontalsinus
DPA30	Sfenotomi
DPB00	Reseksjon av frontalsinus
DPB10	Reseksjon av sfenoidalsinus
DPB20	Obliterasjon av frontalsinus
DPC05	Fjerning av fremmedlegeme fra frontal- eller sfenoidalsinus
DPW00	Innlegging av dren i frontalsinus
DPW10	Innlegging av dren i sfenoidalsinus
DPW99	Annen operasjon på frontal- eller sfenoidalsinus
DQA00	Laryngotomi
DQA10	Biopsi av larynx
DQA20	Eksplorativ laryngofissur
DQB00	Laryngofissur med ekstirpasjon av lesjon
DQB10	Endoskopisk ekstirpasjon av lesjon i larynx
DQB20	Reseksjon av larynx
DQB30	Laryngektomi
DQB40	Supraglottisk laryngektomi
DQB50	Vertikal hemilaryngektomi
DQB60	Arytenoidektomi
DQB70	Eksisjon av stemmebånd
DQB80	Operasjon for stemmebåndstriktur
DQC00	Fjerning av fremmedlegeme fra larynx
DQD00	Lateral fiksasjon av stemmebånd
DQD10	Sutur av larynx
DQD20	Rekonstruksjon av larynx med fritt slimhinnetransplantat
DQD30	Rekonstruksjon av larynx med stilket transplantat
DQD40	Plastisk rekonstruksjon av larynx
DQD42	Tyreoplastikk
DQD50	Endoskopisk innlegging av stent i larynx
DQE00	Innlegging av taleprotese etter laryngektomi
DQE10	Injeksjon av fremmed materiale i stemmebånd
DQE20	Implantasjon av fremmed materiale i stemmebånd
DQW99	Annen operasjon på larynx
DWA00	Reoperasjon for sårruptur i øre, nese, bihuler eller strupehode
DWB00	Reoperasjon for overfladisk infeksjon etter inngrep på øre, nese, bihuler eller strupehode
DWC00	Reoperasjon for dyp infeksjon i øre, nese, bihuler eller strupehode
DWD00	Reoperasjon for overfladisk blødning etter inngrep på øre, nese, bihuler eller strupehode
DWE00	Reoperasjon for dyp blødning i øre, nese, bihuler eller strupehode
DWF00	Reoperasjon for insuffisiens av anastomose eller sutur i øre, nese, bihuler eller strupehode
DWW99	Annen reoperasjon etter inngrep på øre, nese, bihuler eller strupehode
EAA00	Incisjon av leppe
EAA10	Ekstirpasjon av lesjon i leppe
EAA20	Reseksjon av overleppe
EAA30	Reseksjon av underleppe
EAA99	Annet reseksjonsinngrep på leppe
EAB00	Sutur av leppe
EAB10	Eksisjon og rekonstruksjon av leppebånd
EAB20	Plastisk rekonstruksjon av leppe
EAB30	Korreksjon av leppespalte
EAB99	Annet rekonstruksjonsinngrep på leppe
EAW99	Annen operasjon på leppe
EBA00	Tannekstraksjon
EBA10	Kirurgisk eksisjon av tann
EBA20	Hemiseksjon av tann
EBA30	Eksisjon av tannrot
EBA40	Eksisjon av tannrotspiss
EBA99	Annen ekstraksjon eller reseksjon av tann
EBB00	Reposisjon og fiksasjon av tannluksasjon
EBB05	Reposisjon og fiksasjon av tannfraktur
EBB10	Innsetting av tannimplantat
EBB15	Innsetting av tannimplantatsperre
EBB20	Tanntransplantasjon
EBB99	Annet rekonstruksjonsinngrep på tann
EBU00	Fjerning av implantat eller eksternt fiksasjonsutstyr fra tann
EBW99	Annen operasjon på tann
ECA00	Frilegging av tann
ECA10	Incisjon i gingiva
ECA20	Biopsi av gingiva
ECA30	Eksisjon av lesjon i gingiva
ECA40	Kirurgisk behandling av periodontal abscess
ECA50	Periodontal operasjon
ECA60	Fjerning av fremmedlegeme fra gingiva eller alveol
ECA99	Annen incisjon eller eksisjon av gingiva eller alveol
ECB00	Sutur av gingiva
ECB05	Mukogingival rekonstruksjon
ECB10	Rekonstruksjon av gingiva
ECB15	Plastisk lukking av alveonasal eller alveoantral fistel
ECB20	Processus alveolarisplastikk
ECB30	Processus alveolarisplastikk med hud- eller mukosatransplantat
ECB40	Kirurgisk behandling av processus alveolarisfraktur
ECB50	Processus alveolarisplastikk med beintransplantat eller alloplastisk materiale
ECB99	Annet rekonstruksjonsinngrep på gingiva eller processus alveolaris
ECU00	Fjerning av implantat eller eksternt fiksasjonsutstyr fra processus alveolaris
ECW99	Annen operasjon på gingiva eller processus alveolaris
EDA00	Incisjon i underkjeve
EDA10	Biopsi av underkjeve
EDB00	Reseksjon av underkjeve
EDB10	Mandibulektomi
EDB20	Hemimandibulektomi
EDB30	Reseksjon av processus coronoideus
EDB99	Annet reseksjonsinngrep på underkjeve
EDC00	Mandibulær kondylotomi
EDC05	Segmental osteotomi i underkjeve
EDC10	Sagittal osteotomi av ramus mandibula
EDC15	Vertikal osteotomi av ramus mandibula
EDC20	Uspesifisert osteotomi av underkjeve
EDC25	Korpusosteotomi i underkjeve
EDC30	Genioplastikk
EDC32	Lukket reposisjon og immobilisering av fraktur av collum eller caput mandibulae
EDC34	Lukket reposisjon og immobilisering av fraktur av corpus mandibulae
EDC36	Åpen reposisjon og osteosyntese av fraktur av collum eller caput mandibulae
EDC38	Åpen reposisjon og osteosyntese av fraktur av corpus mandibulae
EDC42	Rekonstruksjon av underkjeve med skinne
EDC45	Rekonstruksjon av underkjeve med beintransplantat
EDC99	Annet rekonstruksjonsinngrep på underkjeve
EDU00	Fjerning av implantat eller eksternt fiksasjonsutstyr fra underkjeve
EDW99	Annen operasjon på underkjeve
EEA00	Incisjon i overkjeve
EEA10	Biopsi av overkjeve
EEB00	Reseksjon av overkjeve
EEB10	Maksillektomi
EEB99	Annet reseksjonsinngrep på overkjeve
EEC00	Segmental osteotomi av overkjeve
EEC05	Le Fort I osteotomi
EEC10	Le Fort II osteotomi
EEC15	Le Fort III osteotomi
EEC20	Lukket reposisjon og immobilisering av maksillefraktur
EEC25	Åpen reposisjon og immobilisering av maksillefraktur
EEC30	Reposisjon av zygomaticusfraktur
EEC35	Reposisjon og osteosyntese av zygomaticusfraktur
EEC40	Distraksjonsbehandling av overkjeve
EEC42	Rekonstruksjon av overkjeve med alloplastisk materiale
EEC45	Rekonstruksjon av overkjeve med beintransplantat
EEC99	Annet rekonstruksjonsinngrep på overkjeve
EEU00	Fjerning av implantat eller eksternt fiksasjonsutstyr fra overkjeve
EEW99	Annen operasjon på overkjeve
EFA10	Eksisjon av lesjon i kjeve
EFA20	Dekortikasjon av kjeve
EFA40	Fenestrasjon av kjevecyste
EFA50	Ekstirpasjon av kjevecyste
EFA99	Annet reseksjonsinngrep på kjeve
EFB10	Osteoplastikk på kjevene
EFB20	Reposisjon og/eller immobilisering av multiple ansiktsfrakturer
EFB30	Ekstern fiksasjon av ansiktsfraktur
EFB99	Annet rekonstruksjonsinngrep på kjevene
EFU00	Fjerning av implantat eller eksternt fiksasjonsutstyr fra kjevene
EFW99	Annen operasjon på kjevene
EGA00	Artroskopi i kjeveledd
EGA10	Incisjon i kjeveledd
EGA20	Biopsi av kjeveledd
EGB00	Kondylektomi i underkjeve
EGB10	Meniskektomi i kjeveledd
EGB20	Synovektomi i kjeveledd
EGB99	Annet reseksjonsinngrep på kjeveledd
EGC00	Åpen reposisjon av kjeveluksasjon
EGC10	Artroplastikk av kjeveledd uten transplantat
EGC20	Artroplastikk av kjeveledd med bein- eller annet transplantat
EGC30	Implantasjon av kjeveleddprotese
EGC99	Annet rekonstruksjonsinngrep på kjeveledd
EGU00	Fjerning av implantat eller eksternt fiksasjonsutstyr fra kjeveledd
EGW99	Annen operasjon på kjeveledd
EHA00	Incisjon i ganen
EHA10	Biopsi av ganen
EHB00	Ekstirpasjon av lesjon i ganen
EHB99	Annet reseksjonsinngrep på ganen
EHC00	Sutur av ganen
EHC10	Plastisk lukking av palatonasal eller palatoantral fistel
EHC20	Korreksjon av arr i ganen
EHC30	Rekonstruksjon av ganen
EHC31	Fremre partiell rekonstruksjon av ganen
EHC32	Bakre partiell rekonstruksjon av ganen
EHC40	Korreksjon av submukøs ganespalte
EHC50	Korreksjon av ganespalte med pharynxlapp
EHC60	Korreksjon av kombinert leppe- og ganespalte
EHC99	Annet rekonstruksjonsinngrep på ganen
EHU00	Fjerning av implantat eller eksternt fiksasjonsutstyr fra gane
EHW99	Annen operasjon på ganen
EJA00	Incisjon i tunge eller munngulv
EJA10	Biopsi av tunge eller munngulv
EJA20	Fjerning av fremmedlegeme fra tunge eller munngulv
EJB00	Eksisjon av ranula
EJB10	Ekstirpasjon av lesjon i tungen
EJB20	Ekstirpasjon av lesjon i tungerot
EJB30	Ekstirpasjon av lesjon i munngulv
EJB40	Hemiglossektomi
EJB50	Total glossektomi
EJB60	Reseksjon av munngulv
EJB99	Annet reseksjonsinngrep på tunge og munngulv
EJC00	Sutur av tunge eller munngulv
EJC20	Operasjon på tungebånd
EJC30	Rekonstruksjon av tungen
EJC40	Glossopeksi
EJC99	Annet rekonstruksjonsinngrep på tunge eller munngulv
EJW99	Annen operasjon på tunge eller munngulv
EKA00	Incisjon i kinn
EKA10	Biopsi av kinn
EKB00	Ekstirpasjon av lesjon i kinn
EKB99	Annet reseksjonsinngrep på kinn
EKC00	Sutur av kinn
EKC10	Fjerning av fremmedlegeme fra kinn
EKC20	Plastisk operasjon på kinn
EKC30	Rekonstruksjon av kinn
EKC99	Annet rekonstruksjonsinngrep på kinn
EKW99	Annen operasjon på kinn
ELA00	Incisjon i spyttkjertel
ELA10	Sialodokotomi
ELA20	Sialolitotomi
ELA30	Biopsi av spyttkjertel
ELB00	Ekstirpasjon eller eksplorasjon av lesjon i spyttkjertel
ELB10	Eksisjon av liten spyttkjertel
ELB20	Eksisjon av sublingvalkjertel
ELB30	Eksisjon av submandibulærkjertel
ELB40	Parotisreseksjon
ELB50	Total parotidektomi
ELB99	Annet reseksjonsinngrep på spyttkjertel
ELC00	Sutur av spyttkjertel
ELC30	Ligatur av spyttkjertelgang
ELC40	Rekonstruksjon av spyttkjertelgang
ELC50	Transposisjon av spyttkjertelgang
ELC60	Okklusjon av spyttkjertelfistel
ELC99	Annet rekonstruksjonsinngrep på spyttkjertel
ELW99	Annen operasjon på spyttkjertel
EMA00	Incisjon i tonsille
EMA10	Biopsi av tonsille
EMA20	Incisjon i adenoid vev
EMA30	Biopsi av rhinopharynx
EMB00	Ekstirpasjon av lesjon i tonsille eller adenoid vev
EMB10	Tonsillelektomi
EMB20	Adenotonsillektomi
EMB30	Adenotomi
EMB99	Annet reseksjonsinngrep på tonsille eller adenoid vev
EMC00	Sutur av tonsille eller adenoid vev
EMC10	Fjerning av fremmedlegeme fra tonsille
EMC99	Annet rekonstruksjonsinngrep på tonsille eller adenoid vev
EMW99	Annen operasjon på tonsille eller adenoid vev
ENA00	Intern incisjon i pharynx
ENA10	Biopsi av pharynx
ENA20	Faryngotomi
ENA30	Faryngostomi
ENB00	Ekstirpasjon eller eksplorasjon av lesjon i pharynx
ENB10	Eksisjon av hypopharynxdivertikkel
ENB20	Faryngektomi
ENB30	Laryngofaryngektomi
ENB40	Eksisjon av brankialcyste eller -fistel
ENB50	Eksisjon av median halsfistel eller -cyste
ENB60	Eksisjon av processus styloideus
ENB99	Annet reseksjonsinngrep på pharynx eller tilstøtende struktur
ENC00	Sutur av pharynx eller tilstøtende struktur
ENC10	Fjerning av fremmedlegeme fra pharynx
ENC20	Kricofaryngeal myotomi
ENC30	Plastisk operasjon på pharynx
ENC40	Uvulopalatofaryngoplastikk
ENC50	Lukking av pharynxfistel
ENC60	Adheranseløsning i pharynx
ENC70	Endoskopisk divertikulohypofaryngostomi
ENC99	Annet rekonstruksjonsinngrep på pharynx eller tilstøtende struktur
ENW99	Annen operasjon på pharynx eller tilstøtende struktur
EWA00	Reoperasjon for sårruptur etter inngrep på kjeve, munn eller pharynx
EWB00	Reoperasjon for overfladisk infeksjon etter inngrep på kjeve, munn eller pharynx
EWC00	Reoperasjon for dyp infeksjon i kjeve, munn eller pharynx
EWD00	Reoperasjon for overfladisk blødning etter inngrep på kjeve, munn eller pharynx
EWE00	Reoperasjon for dyp blødning i kjeve, munn eller pharynx
EWF00	Reoperasjon for insuffisiens av anastomose eller sutur i kjeve, munn eller pharynx
EWW99	Annen reoperasjon etter inngrep på tenner, kjeve, munn eller pharynx
FAA00	Sutur av intratorakale vena cava
FAA10	Rekonstruksjon av intratorakale vena cava med protese
FAA96	Annet rekonstruksjonsinngrep på vena cava
FAB00	Venotomi i intratorakale vena cava
FAB10	Trombektomi i intratorakale vena cava
FAB20	Fjerning av fremmedlegeme fra intratorakale vena cava
FAB22	Perkutan transluminal fjerning av fremmedlegeme fra intratorakale vena cava
FAB30	Ekstirpasjon av lesjon i intratorakale vena cava
FAB96	Annen incisjon eller ekstirpasjon i intratorakale vena cava
FAC00	Reseksjon eller ligatur av intratorakale vena cava
FAC10	Reseksjon og rekonstruksjon av intratorakale vena cava med venetransplantat
FAC20	Reseksjon og rekonstruksjon av intratorakale vena cava med implantat
FAC22	Perkutan transluminal angioplastikk av intratorakale vena cava
FAC25	Perkutan transluminal angioplastikk av intratorakale vena cava med innlegging av stent
FAC96	Annen reseksjon, rekonstruksjon eller ligatur av intratorakale vena cava
FAD00	Bypassoperasjon på intratorakale vena cava med venetransplantat
FAD10	Bypassoperasjon på intratorakale vena cava med rørprotese
FAD96	Annen bypassoperasjon på intratorakale vena cava
FAE00	Anastomose mellom vena cava superior og lungearterie
FAE10	Toveis anastomose mellom vena cava superior og lungearterie
FAE20	Total cavopulmonal forbindelse
FAE30	Total cavopulmonal forbindelse med fenestrasjon
FAE40	Total ekstrakardial cavopulmonal forbindelse
FAE50	Total ekstrakardial cavopulmonal forbindelse med shunt til atrium
FAE96	Annen anastomose mellom vena cava superior og lungearterie
FAF00	Fenestrasjon av total cavopulmonal forbindelse
FAF10	Lukking av fenestrasjon ved cavopulmonal forbindelse
FAF12	Perkutan transluminal lukking av fenestrasjon ved cavopulmonal forbindelse
FAF20	Lukking av cavopulmonal anastomose
